figi,isin,client_internal,name,currency,date,time,price,source,type,,,,,,,,,
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,2019-09-10,NYSEClose,129.2200,bloomberg,mid_price,,,,,,,,,
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,2019-09-11,NYSEClose,129.5600,reuters,mid_price,,,,,,,,,
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,2019-09-10,NYSEClose,129.2100,reuters,mid_price,,,,,,,,,
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,2019-09-11,NYSEClose,100.7700,bloomberg,mid_price,,,,,,,,,
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,2019-09-10,NYSEClose,100.7900,bloomberg,mid_price,,,,,,,,,
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,2019-09-11,NYSEClose,100.7800,reuters,mid_price,,,,,,,,,
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,2019-09-10,NYSEClose,100.7900,reuters,mid_price,,,,,,,,,
,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,2019-09-11,LSEClose,110.0000,bloomberg,mid_price,,,,,,,,,
,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,2019-09-10,LSEClose,110.2000,bloomberg,mid_price,,,,,,,,,
,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,2019-09-11,LSEClose,112.2000,reuters,mid_price,,,,,,,,,
,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,2019-09-10,LSEClose,113.5000,reuters,mid_price,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-11,LSEClose,1.1196,bloomberg,mid_rate,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-10,LSEClose,1.2034,bloomberg,mid_rate,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-11,LSEClose,1.1197,reuters,mid_rate,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-10,LSEClose,1.2038,reuters,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-11,LSEClose,0.9084,bloomberg,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-10,LSEClose,0.9076,bloomberg,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-11,LSEClose,0.9085,reuters,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-10,LSEClose,0.9074,reuters,mid_rate,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-11,NYSEClose,1.1178,bloomberg,mid_rate,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-10,NYSEClose,1.2022,bloomberg,mid_rate,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-11,NYSEClose,1.1176,reuters,mid_rate,,,,,,,,,
,,,GBP to EUR Spot Rate,GBPEUR,2019-09-10,NYSEClose,1.2024,reuters,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-11,NYSEClose,0.9089,bloomberg,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-10,NYSEClose,0.9074,bloomberg,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-11,NYSEClose,0.9088,reuters,mid_rate,,,,,,,,,
,,,USD to EUR Spot Rate,USDEUR,2019-09-10,NYSEClose,0.9078,reuters,mid_rate,,,,,,,,,
