Ticker,Name,Sector,ISIN,SEDOL,Figi,Moodys,SP,Fitch,Internal
FERG LN,Ferguson plc 0.5% 5-Mar-2023,Support Services,JE00BJVNSS43,BJVNSS4,BBG00NZJ0JG0,A-,A+,BBB,
FLTR LN,Flutter Entertainment 1.0% 8-Aug-2045,Travel & Leisure,IE00BWT6H894,BWXC0Z1,BBG000DWL6M3,BBB-,,,BBB+
FRES LN,Fresnillo 2.0% 23-Oct-2030,Mining,GB00B2QPKJ12,B2QPKJ1,BBG000RC9QX0,AA-,A+,BBB+,BBB-
GSK LN,GlaxoSmithKline 0.5% 8-Aug-2045,Pharmaceuticals & Biotechnology,GB0009252882,925288,BBG000CT5GJ1,,A,BBB+,A+
GLEN LN,Glencore 1.5% 5-Mar-2023,Mining,JE00B4T3BW64,B4T3BW6,BBG001MM1KV4,BBB-,AA,BBB,AA
HLMA LN,Halma 1.5% 5-Mar-2023,Electronic & Electrical Equipment,GB0004052071,405207,BBG000BDLT47,A-,,AA,AA
HL/ LN,Hargreaves Lansdown 1.5% 8-Aug-2045,Financial Services,GB00B1VZ0M25,B1VZ0M2,BBG000CLQ3K2,,A+,BBB+,BBB
HIK LN,Hikma Pharmaceuticals 1.5% 5-Mar-2023,Pharmaceuticals & Biotechnology,GB00B0LCW083,B0LCW08,BBG000FG1MF1,,,A-,A
HSBA LN,HSBC 0.5% 23-Oct-2030,Banks,GB0005405286,540528,BBG000BQ9HJ2,AA,A-,A,BBB-
IHG LN,IHG Hotels & Resorts 2.5% 23-Oct-2030,Travel & Leisure,GB00BHJYC057,BHJYC05,BBG000C2C4D5,BBB-,A-,BBB-,A-
IMB LN,Imperial Brands 1.5% 23-Oct-2030,Tobacco,GB0004544929,454492,BBG000BYK740,,A,A-,A+
INF LN,Informa 0.5% 5-Mar-2023,Media,GB00BMJ6DW54,BMJ6DW5,BBG000BLHQP7,,BBB,AA-,BBB-
ICP LN,Intermediate Capital Group 2.5% 8-Aug-2045,Investment Services,GB00BYT1DJ19,BYT1DJ1,BBG000D8KQJ7,AA,BBB,A+,BBB+
IAG LN,International Airlines Group 2.5% 8-Aug-2045,Travel & Leisure,ES0177542018,B5M6XQ7,BBG000C04GS5,A,BBB+,BBB-,A+
ITRK LN,Intertek 1.0% 5-Mar-2023,Support Services,GB0031638363,3163836,BBG000C08QY2,AA,BBB-,A-,A+
JD/ LN,JD Sports 0.5% 23-Oct-2030,General Retailers,GB00BYX91H57,BYX91H5,BBG000QVZQC3,A-,A+,AA,
JMAT LN,Johnson Matthey 0.5% 5-Mar-2023,Chemicals,GB00BZ4BQC70,BZ4BQC7,BBG000BDNS10,,AA,AA-,AA
JET LN,Just Eat Takeaway 1.5% 23-Oct-2030,Software & Computer Services,NL0012015705,BKM1QM4,BBG00DRDFY39,AA-,,BBB+,BBB-
KGF LN,Kingfisher 1.0% 23-Oct-2030,Retailers,GB0033195214,3319521,BBG000BKH1W6,BBB,AA-,A+,
LAND LN,Land Securities 2.0% 5-Mar-2023,Real Estate Investment Trusts,GB00BYW0PQ60,BYW0PQ6,BBG000BDPHS3,A,BBB,,
LGEN LN,Legal & General 2.5% 5-Mar-2023,Life Insurance,GB0005603997,560399,BBG000BDQCG6,BBB-,AA-,A-,BBB-
LLOY LN,Lloyds Banking Group 2.0% 8-Aug-2045,Banks,GB0008706128,870612,BBG000BDQGR5,,AA-,A,BBB-
LSEG LN,London Stock Exchange Group 1.0% 23-Oct-2030,Financial Services,GB00B0SWJX34,B0SWJX3,BBG000BC85S0,AA-,BBB,AA-,A-
MNG LN,M&G 0.5% 5-Mar-2023,Asset Managers,GB00BKFB1C65,BKFB1C6,BBG00K9ZPS45,A,A+,AA,BBB-
MRO LN,Melrose Industries 2.0% 5-Mar-2023,Automobiles & Parts,GB00BZ1G4322,BZ1G432,BBG00B5YJC26,BBB,AA,A,AA-
MNDI LN,Mondi 2.5% 8-Aug-2045,Forestry & Paper,GB00B1CRLC47,B1CRLC4,BBG000C26Q43,A-,AA-,BBB-,BBB+
MRW LN,Morrisons 1.5% 23-Oct-2030,Food & Drug Retailers,GB0006043169,604316,BBG000GVNZ28,BBB-,AA-,BBB+,A+
NG/ LN,National Grid plc 1.0% 5-Mar-2023,"Gas, Water & Multi-utilities",GB00BDR05C01,BDR05C0,BBG000FV67Q4,BBB-,AA-,A,AA-
NWG LN,NatWest Group 1.5% 23-Oct-2030,Banks,GB00B7T77214,B7T7721,BBG000BDYNG3,BBB+,A,,A-
NXT LN,Next plc 1.0% 8-Aug-2045,General Retailers,GB0032089863,3208986,BBG000BDWPY0,A-,BBB+,AA-,A+
OCDO LN,Ocado Group 1.5% 5-Mar-2023,Food & Drug Retailers,GB00B3MBS747,B3MBS74,BBG000BDXZH6,A+,A,A,A-
PSON LN,Pearson plc 1.5% 8-Aug-2045,Media,GB0006776081,677608,BBG000BDY8C0,,A,BBB-,BBB-
PNN LN,Pennon Group 0.5% 8-Aug-2045,Water,GB00B18V8630,B18V863,BBG000H90Q58,A+,BBB,BBB-,A
PSH LN,Pershing Square Holdings 0.5% 8-Aug-2045,Financial Services,GG00BPFJTF46,BS7JCJ8,BBG00747WHS1,BBB+,AA,AA-,AA
PSN LN,Persimmon plc 1.5% 5-Mar-2023,Household Goods & Home Construction,GB0006825383,682538,BBG000BDY6P0,A,A,,
PHNX LN,Phoenix Group 1.0% 5-Mar-2023,Life Insurance,GB00BGXQNP29,BGXQNP2,BBG00MH6HPM1,BBB-,BBB+,BBB+,BBB+
POLY LN,Polymetal International 1.5% 8-Aug-2045,Precious Metals & Mining,JE00B6T5S470,B6T5S47,BBG0025RP8F9,BBB+,AA-,BBB+,BBB+
PRU LN,Prudential plc 0.5% 5-Mar-2023,Life Insurance,GB0007099541,709954,BBG000BDY322,,BBB+,BBB+,AA-
RB/ LN,Reckitt Benckiser 2.5% 23-Oct-2030,Household Goods & Home Construction,GB00B24CGK77,B24CGK7,BBG000BX8BP4,A,A,AA-,A-
REL LN,RELX 1.0% 8-Aug-2045,Media,GB00B2B0DG97,B2B0DG9,BBG000C0KDR5,BBB,BBB-,A,
RTO LN,Rentokil Initial 1.0% 8-Aug-2045,Support Services,GB00B082RF11,B082RF1,BBG000BDZZM8,A+,A+,A+,AA-
RMV LN,Rightmove 1.0% 23-Oct-2030,Media,GB00BGDT3G23,BGDT3G2,BBG000DD5X08,BBB+,A+,AA,A
RIO LN,Rio Tinto 2.0% 5-Mar-2023,Mining,GB0007188757,718875,BBG000D4Z9L5,AA,BBB-,A-,BBB+
RR/ LN,Rolls-Royce Holdings 2.0% 5-Mar-2023,Aerospace & Defence,GB00B63H8491,B63H849,BBG000BTG1B1,AA,BBB-,,
RDSA LN,Royal Dutch Shell 1.0% 8-Aug-2045,Oil & Gas Producers,GB00B03MLX29,B03MLX2,BBG000QZQN13,BBB+,AA,AA,BBB
RSA LN,RSA Insurance Group 2.5% 8-Aug-2045,Nonlife Insurance,GB00BKKMKR23,BKKMKR2,BBG000H3DN90,,AA-,BBB-,BBB
SGE LN,Sage Group 1.5% 23-Oct-2030,Software & Computer Services,GB00B8C3BL03,B8C3BL0,BBG000BN0PP3,BBB+,A,AA-,
SBRY LN,Sainsbury's 2.0% 5-Mar-2023,Food & Drug Retailers,GB00B019KW72,B019KW7,BBG000BF0KW3,BBB+,AA-,BBB,AA
SDR LN,Schroders 0.5% 8-Aug-2045,Financial Services,GB0002405495,240549,BBG000BF0TF3,A-,A-,A-,BBB+
SMT LN,Scottish Mortgage Investment Trust 0.5% 23-Oct-2030,Equity Investment Instruments,GB00BLDYK618,BLDYK61,BBG000BFZMY9,,BBB,AA-,A
SGRO LN,Segro 2.5% 23-Oct-2030,Real Estate Investment Trusts,GB00B5ZN1N88,B5ZN1N8,BBG000BF1HY7,AA-,A+,AA,BBB+
SVT LN,Severn Trent 1.0% 23-Oct-2030,"Gas, Water & Multi-utilities",GB00B1FH8J72,B1FH8J7,BBG000BS5FD2,AA-,BBB+,A+,AA-
SMDS LN,DS Smith 2.5% 5-Mar-2023,General Industrials,GB0008220112,822011,BBG000BF1LF9,BBB+,AA,AA-,AA-
SMIN LN,Smiths Group 1.0% 23-Oct-2030,General Industrials,GB00B1WY2338,B1WY233,BBG000BF1SQ2,,AA-,A-,BBB
SN/ LN,Smith & Nephew 0.5% 8-Aug-2045,Health Care Equipment & Services,GB0009223206,922320,BBG000BF2206,BBB,BBB-,A+,A-
SKG LN,Smurfit Kappa 1.5% 23-Oct-2030,General Industrials,IE00B1RR8406,B1RR840,BBG000NCTTW7,AA-,BBB,BBB-,BBB-
SPX LN,Spirax-Sarco Engineering 1.5% 23-Oct-2030,Industrial Engineering,GB00BWFGQN14,BWFGQN1,BBG000BF2FG0,BBB+,A-,A+,AA-
SSE LN,SSE plc 1.5% 23-Oct-2030,Electricity,GB0007908733,790873,BBG000BSS1V8,BBB+,A,AA,A
STAN LN,Standard Chartered 2.0% 5-Mar-2023,Banks,GB0004082847,408284,BBG000BF2QW8,A+,AA,BBB+,A+
SLA LN,Standard Life Aberdeen 2.0% 8-Aug-2045,Financial Services,GB00BF8Q6K64,BF8Q6K6,BBG000N2C023,AA,,BBB,AA
STJ LN,St. James's Place plc 0.5% 8-Aug-2045,Life Insurance,GB0007669376,766937,BBG000BRMPC4,A-,A-,A-,BBB-
TW/ LN,Taylor Wimpey 2.0% 23-Oct-2030,Household Goods & Home Construction,GB0008782301,878230,BBG000BF4KL1,A-,AA,BBB,BBB
TSCO LN,Tesco 2.5% 8-Aug-2045,Food & Drug Retailers,GB00BLGZ9862,BLGZ986,BBG000BF46Y8,,A-,AA,A-
ULVR LN,Unilever 2.0% 5-Mar-2023,Personal Goods,GB00B10RZP78,B10RZP7,BBG000C0M8X7,BBB,,A,BBB
UU/ LN,United Utilities 2.5% 5-Mar-2023,"Gas, Water & Multi-utilities",GB00B39J2M42,B39J2M4,BBG000BBFLV5,BBB,BBB,AA,AA-
VOD LN,Vodafone Group 2.5% 5-Mar-2023,Mobile Telecommunications,GB00BH4HKS39,BH4HKS3,BBG000C6K6G9,,BBB-,A,BBB
WTB LN,Whitbread 1.5% 23-Oct-2030,Retail hospitality,GB00B1KJJ408,B1KJJ40,BBG000BRVH05,BBB+,A,BBB,A-
WPP LN,WPP plc 2.0% 8-Aug-2045,Media,JE00B8KF9B49,B8KF9B4,BBG000BF6B57,A,A,AA,A
