Ticker,Name,Sector,ISIN,SEDOL,Figi,Moodys,SP,Fitch,Internal
HL/ LN,Hargreaves Lansdown,Financial Services,GB00B1VZ0M25,B1VZ0M2,BBG000CLQ3K2,,A+,BBB+,BBB
HIK LN,Hikma Pharmaceuticals,Pharmaceuticals & Biotechnology,GB00B0LCW083,B0LCW08,BBG000FG1MF1,,,A-,A
HSBA LN,HSBC,Banks,GB0005405286,540528,BBG000BQ9HJ2,AA,A-,A,BBB-
IHG LN,IHG Hotels & Resorts,Travel & Leisure,GB00BHJYC057,BHJYC05,BBG000C2C4D5,BBB-,A-,BBB-,A-
IMB LN,Imperial Brands,Tobacco,GB0004544929,454492,BBG000BYK740,,A,A-,A+
INF LN,Informa,Media,GB00BMJ6DW54,BMJ6DW5,BBG000BLHQP7,,BBB,AA-,BBB-
ICP LN,Intermediate Capital Group,Investment Services,GB00BYT1DJ19,BYT1DJ1,BBG000D8KQJ7,AA,BBB,A+,BBB+
IAG LN,International Airlines Group,Travel & Leisure,ES0177542018,B5M6XQ7,BBG000C04GS5,A,BBB+,BBB-,A+
ITRK LN,Intertek,Support Services,GB0031638363,3163836,BBG000C08QY2,AA,BBB-,A-,A+
JD/ LN,JD Sports,General Retailers,GB00BYX91H57,BYX91H5,BBG000QVZQC3,A-,A+,AA,
JMAT LN,Johnson Matthey,Chemicals,GB00BZ4BQC70,BZ4BQC7,BBG000BDNS10,,AA,AA-,AA
JET LN,Just Eat Takeaway,Software & Computer Services,NL0012015705,BKM1QM4,BBG00DRDFY39,AA-,,BBB+,BBB-
KGF LN,Kingfisher,Retailers,GB0033195214,3319521,BBG000BKH1W6,BBB,AA-,A+,
LAND LN,Land Securities,Real Estate Investment Trusts,GB00BYW0PQ60,BYW0PQ6,BBG000BDPHS3,A,BBB,,
LGEN LN,Legal & General,Life Insurance,GB0005603997,560399,BBG000BDQCG6,BBB-,AA-,A-,BBB-
LLOY LN,Lloyds Banking Group,Banks,GB0008706128,870612,BBG000BDQGR5,,AA-,A,BBB-
LSEG LN,London Stock Exchange Group,Financial Services,GB00B0SWJX34,B0SWJX3,BBG000BC85S0,AA-,BBB,AA-,A-
MNG LN,M&G,Asset Managers,GB00BKFB1C65,BKFB1C6,BBG00K9ZPS45,A,A+,AA,BBB-
MRO LN,Melrose Industries,Automobiles & Parts,GB00BZ1G4322,BZ1G432,BBG00B5YJC26,BBB,AA,A,AA-
MNDI LN,Mondi,Forestry & Paper,GB00B1CRLC47,B1CRLC4,BBG000C26Q43,A-,AA-,BBB-,BBB+
MRW LN,Morrisons,Food & Drug Retailers,GB0006043169,604316,BBG000GVNZ28,BBB-,AA-,BBB+,A+
NG/ LN,National Grid plc,"Gas, Water & Multi-utilities",GB00BDR05C01,BDR05C0,BBG000FV67Q4,BBB-,AA-,A,AA-
NWG LN,NatWest Group,Banks,GB00B7T77214,B7T7721,BBG000BDYNG3,BBB+,A,,A-
NXT LN,Next plc,General Retailers,GB0032089863,3208986,BBG000BDWPY0,A-,BBB+,AA-,A+
OCDO LN,Ocado Group,Food & Drug Retailers,GB00B3MBS747,B3MBS74,BBG000BDXZH6,A+,A,A,A-
PSON LN,Pearson plc,Media,GB0006776081,677608,BBG000BDY8C0,,A,BBB-,BBB-
PNN LN,Pennon Group,Water,GB00B18V8630,B18V863,BBG000H90Q58,A+,BBB,BBB-,A
PSH LN,Pershing Square Holdings,Financial Services,GG00BPFJTF46,BS7JCJ8,BBG00747WHS1,BBB+,AA,AA-,AA
PSN LN,Persimmon plc,Household Goods & Home Construction,GB0006825383,682538,BBG000BDY6P0,A,A,,
PHNX LN,Phoenix Group,Life Insurance,GB00BGXQNP29,BGXQNP2,BBG00MH6HPM1,BBB-,BBB+,BBB+,BBB+
POLY LN,Polymetal International,Precious Metals & Mining,JE00B6T5S470,B6T5S47,BBG0025RP8F9,BBB+,AA-,BBB+,BBB+
PRU LN,Prudential plc,Life Insurance,GB0007099541,709954,BBG000BDY322,,BBB+,BBB+,AA-
RB/ LN,Reckitt Benckiser,Household Goods & Home Construction,GB00B24CGK77,B24CGK7,BBG000BX8BP4,A,A,AA-,A-
REL LN,RELX,Media,GB00B2B0DG97,B2B0DG9,BBG000C0KDR5,BBB,BBB-,A,
RTO LN,Rentokil Initial,Support Services,GB00B082RF11,B082RF1,BBG000BDZZM8,A+,A+,A+,AA-
RMV LN,Rightmove,Media,GB00BGDT3G23,BGDT3G2,BBG000DD5X08,BBB+,A+,AA,A
RIO LN,Rio Tinto,Mining,GB0007188757,718875,BBG000D4Z9L5,AA,BBB-,A-,BBB+
RR/ LN,Rolls-Royce Holdings,Aerospace & Defence,GB00B63H8491,B63H849,BBG000BTG1B1,AA,BBB-,,
RDSA LN,Royal Dutch Shell,Oil & Gas Producers,GB00B03MLX29,B03MLX2,BBG000QZQN13,BBB+,AA,AA,BBB
RSA LN,RSA Insurance Group,Nonlife Insurance,GB00BKKMKR23,BKKMKR2,BBG000H3DN90,,AA-,BBB-,BBB
SGE LN,Sage Group,Software & Computer Services,GB00B8C3BL03,B8C3BL0,BBG000BN0PP3,BBB+,A,AA-,
SBRY LN,Sainsbury's,Food & Drug Retailers,GB00B019KW72,B019KW7,BBG000BF0KW3,BBB+,AA-,BBB,AA
SDR LN,Schroders,Financial Services,GB0002405495,240549,BBG000BF0TF3,A-,A-,A-,BBB+
SMT LN,Scottish Mortgage Investment Trust,Equity Investment Instruments,GB00BLDYK618,BLDYK61,BBG000BFZMY9,,BBB,AA-,A
SGRO LN,Segro,Real Estate Investment Trusts,GB00B5ZN1N88,B5ZN1N8,BBG000BF1HY7,AA-,A+,AA,BBB+
SVT LN,Severn Trent,"Gas, Water & Multi-utilities",GB00B1FH8J72,B1FH8J7,BBG000BS5FD2,AA-,BBB+,A+,AA-
SMDS LN,DS Smith,General Industrials,GB0008220112,822011,BBG000BF1LF9,BBB+,AA,AA-,AA-
SMIN LN,Smiths Group,General Industrials,GB00B1WY2338,B1WY233,BBG000BF1SQ2,,AA-,A-,BBB
SN/ LN,Smith & Nephew,Health Care Equipment & Services,GB0009223206,922320,BBG000BF2206,BBB,BBB-,A+,A-
SKG LN,Smurfit Kappa,General Industrials,IE00B1RR8406,B1RR840,BBG000NCTTW7,AA-,BBB,BBB-,BBB-
SPX LN,Spirax-Sarco Engineering,Industrial Engineering,GB00BWFGQN14,BWFGQN1,BBG000BF2FG0,BBB+,A-,A+,AA-
SSE LN,SSE plc,Electricity,GB0007908733,790873,BBG000BSS1V8,BBB+,A,AA,A
STAN LN,Standard Chartered,Banks,GB0004082847,408284,BBG000BF2QW8,A+,AA,BBB+,A+
SLA LN,Standard Life Aberdeen,Financial Services,GB00BF8Q6K64,BF8Q6K6,BBG000N2C023,AA,,BBB,AA
STJ LN,St. James's Place plc,Life Insurance,GB0007669376,766937,BBG000BRMPC4,A-,A-,A-,BBB-
TW/ LN,Taylor Wimpey,Household Goods & Home Construction,GB0008782301,878230,BBG000BF4KL1,A-,AA,BBB,BBB
TSCO LN,Tesco,Food & Drug Retailers,GB00BLGZ9862,BLGZ986,BBG000BF46Y8,,A-,AA,A-
ULVR LN,Unilever,Personal Goods,GB00B10RZP78,B10RZP7,BBG000C0M8X7,BBB,,A,BBB
UU/ LN,United Utilities,"Gas, Water & Multi-utilities",GB00B39J2M42,B39J2M4,BBG000BBFLV5,BBB,BBB,AA,AA-
VOD LN,Vodafone Group,Mobile Telecommunications,GB00BH4HKS39,BH4HKS3,BBG000C6K6G9,,BBB-,A,BBB
WTB LN,Whitbread,Retail hospitality,GB00B1KJJ408,B1KJJ40,BBG000BRVH05,BBB+,A,BBB,A-
WPP LN,WPP plc,Media,JE00B8KF9B49,B8KF9B4,BBG000BF6B57,A,A,AA,A
