date,figi,close_price,currency
04/03/2020,BBG000BMFD58,38.46,USD
05/03/2020,BBG000BMFD58,35.88,USD
06/03/2020,BBG000BMFD58,35.16,USD
09/03/2020,BBG000BMFD58,30.41,USD
10/03/2020,BBG000BMFD58,34,USD
11/03/2020,BBG000BMFD58,33.32,USD
12/03/2020,BBG000BMFD58,28.68,USD
13/03/2020,BBG000BMFD58,34.19,USD
16/03/2020,BBG000BMFD58,30,USD
17/03/2020,BBG000BMFD58,32.87,USD
18/03/2020,BBG000BMFD58,31.15,USD
19/03/2020,BBG000BMFD58,31.55,USD
20/03/2020,BBG000BMFD58,31.07,USD
23/03/2020,BBG000BMFD58,29.06,USD
24/03/2020,BBG000BMFD58,31.42,USD
25/03/2020,BBG000BMFD58,35.22,USD
26/03/2020,BBG000BMFD58,35.04,USD
27/03/2020,BBG000BMFD58,34.51,USD
30/03/2020,BBG000BMFD58,35.44,USD
31/03/2020,BBG000BMFD58,34.66,USD
01/04/2020,BBG000BMFD58,34.01,USD
02/04/2020,BBG000BMFD58,35.58,USD
03/04/2020,BBG000BMFD58,34.81,USD
06/04/2020,BBG000BMFD58,37.43,USD
07/04/2020,BBG000BMFD58,36.06,USD
08/04/2020,BBG000BMFD58,37.62,USD
09/04/2020,BBG000BMFD58,37.96,USD
13/04/2020,BBG000BMFD58,36.065,USD
14/04/2020,BBG000BMFD58,37.4,USD
15/04/2020,BBG000BMFD58,35.85,USD
16/04/2020,BBG000BMFD58,36.04,USD
17/04/2020,BBG000BMFD58,37.32,USD
20/04/2020,BBG000BMFD58,37.97,USD
21/04/2020,BBG000BMFD58,37.49,USD
22/04/2020,BBG000BMFD58,37.52,USD
23/04/2020,BBG000BMFD58,37.17,USD
24/04/2020,BBG000BMFD58,36.72,USD
27/04/2020,BBG000BMFD58,38.23,USD
28/04/2020,BBG000BMFD58,38.58,USD
29/04/2020,BBG000BMFD58,40.38,USD
30/04/2020,BBG000BMFD58,39.27,USD
01/05/2020,BBG000BMFD58,37.99,USD
04/05/2020,BBG000BMFD58,37.25,USD
05/05/2020,BBG000BMFD58,36.06,USD
06/05/2020,BBG000BMFD58,35.88,USD
07/05/2020,BBG000BMFD58,36.6,USD
08/05/2020,BBG000BMFD58,37.89,USD
11/05/2020,BBG000BMFD58,36.94,USD
12/05/2020,BBG000BMFD58,35.49,USD
13/05/2020,BBG000BMFD58,34.225,USD
14/05/2020,BBG000BMFD58,34.42,USD
15/05/2020,BBG000BMFD58,33.59,USD
18/05/2020,BBG000BMFD58,35.51,USD
19/05/2020,BBG000BMFD58,34.15,USD
20/05/2020,BBG000BMFD58,35.01,USD
21/05/2020,BBG000BMFD58,34.49,USD
22/05/2020,BBG000BMFD58,34.07,USD
26/05/2020,BBG000BMFD58,36,USD
27/05/2020,BBG000BMFD58,38.81,USD
28/05/2020,BBG000BMFD58,37.67,USD
29/05/2020,BBG000BMFD58,37.27,USD
01/06/2020,BBG000BMFD58,38.15,USD
02/06/2020,BBG000BMFD58,38.81,USD
03/06/2020,BBG000BMFD58,41.37,USD
04/06/2020,BBG000BMFD58,45.09,USD
05/06/2020,BBG000BMFD58,46.23,USD
08/06/2020,BBG000BMFD58,45.08,USD
09/06/2020,BBG000BMFD58,43.33,USD
10/06/2020,BBG000BMFD58,41.15,USD
11/06/2020,BBG000BMFD58,39.065,USD
12/06/2020,BBG000BMFD58,39.28,USD
15/06/2020,BBG000BMFD58,39.48,USD
16/06/2020,BBG000BMFD58,39.84,USD
17/06/2020,BBG000BMFD58,39.49,USD
18/06/2020,BBG000BMFD58,39.74,USD
19/06/2020,BBG000BMFD58,39.51,USD
22/06/2020,BBG000BMFD58,39.34,USD
23/06/2020,BBG000BMFD58,38.76,USD
24/06/2020,BBG000BMFD58,36.48,USD
25/06/2020,BBG000BMFD58,36.75,USD
26/06/2020,BBG000BMFD58,34.21,USD
29/06/2020,BBG000BMFD58,35.39,USD
30/06/2020,BBG000BMFD58,36.38,USD
01/07/2020,BBG000BMFD58,35.65,USD
02/07/2020,BBG000BMFD58,35.99,USD
06/07/2020,BBG000BMFD58,36.93,USD
07/07/2020,BBG000BMFD58,36.59,USD
08/07/2020,BBG000BMFD58,37.19,USD
09/07/2020,BBG000BMFD58,36.61,USD
10/07/2020,BBG000BMFD58,37.64,USD
13/07/2020,BBG000BMFD58,37.15,USD
14/07/2020,BBG000BMFD58,37.36,USD
15/07/2020,BBG000BMFD58,38.6,USD
16/07/2020,BBG000BMFD58,37.74,USD
17/07/2020,BBG000BMFD58,36.13,USD
20/07/2020,BBG000BMFD58,36.59,USD
21/07/2020,BBG000BMFD58,38.07,USD
22/07/2020,BBG000BMFD58,37.68,USD
23/07/2020,BBG000BMFD58,38.06,USD
24/07/2020,BBG000BMFD58,37.77,USD
27/07/2020,BBG000BMFD58,36.58,USD
28/07/2020,BBG000BMFD58,36.42,USD
29/07/2020,BBG000BMFD58,36.82,USD
30/07/2020,BBG000BMFD58,36.35,USD
31/07/2020,BBG000BMFD58,35.89,USD
03/08/2020,BBG000BMFD58,36.1,USD
04/08/2020,BBG000BMFD58,36.78,USD
05/08/2020,BBG000BMFD58,37.03,USD
06/08/2020,BBG000BMFD58,35.85,USD
07/08/2020,BBG000BMFD58,36.84,USD
10/08/2020,BBG000BMFD58,36.58,USD
11/08/2020,BBG000BMFD58,37.8,USD
12/08/2020,BBG000BMFD58,37.71,USD
13/08/2020,BBG000BMFD58,37.44,USD
14/08/2020,BBG000BMFD58,37.95,USD
17/08/2020,BBG000BMFD58,37.485,USD
18/08/2020,BBG000BMFD58,37.83,USD
19/08/2020,BBG000BMFD58,38.64,USD
20/08/2020,BBG000BMFD58,37.41,USD
21/08/2020,BBG000BMFD58,37.32,USD
24/08/2020,BBG000BMFD58,38.01,USD
25/08/2020,BBG000BMFD58,38.48,USD
26/08/2020,BBG000BMFD58,38.37,USD
27/08/2020,BBG000BMFD58,39.05,USD
28/08/2020,BBG000BMFD58,39.18,USD
31/08/2020,BBG000BMFD58,38.38,USD
01/09/2020,BBG000BMFD58,38.69,USD
02/09/2020,BBG000BMFD58,38.87,USD
03/09/2020,BBG000BMFD58,38.27,USD
04/09/2020,BBG000BMFD58,39.09,USD
08/09/2020,BBG000BMFD58,37.48,USD
09/09/2020,BBG000BMFD58,37.88,USD
10/09/2020,BBG000BMFD58,37.51,USD
11/09/2020,BBG000BMFD58,38.12,USD
14/09/2020,BBG000BMFD58,38.61,USD
15/09/2020,BBG000BMFD58,37.59,USD
16/09/2020,BBG000BMFD58,38.72,USD
17/09/2020,BBG000BMFD58,38.68,USD
18/09/2020,BBG000BMFD58,38.96,USD
21/09/2020,BBG000BMFD58,38.14,USD
22/09/2020,BBG000BMFD58,37.86,USD
23/09/2020,BBG000BMFD58,37.64,USD
24/09/2020,BBG000BMFD58,37.15,USD
25/09/2020,BBG000BMFD58,37.82,USD
28/09/2020,BBG000BMFD58,39.17,USD
29/09/2020,BBG000BMFD58,38.74,USD
30/09/2020,BBG000BMFD58,39.15,USD
01/10/2020,BBG000BMFD58,40.92,USD
02/10/2020,BBG000BMFD58,40.82,USD
05/10/2020,BBG000BMFD58,39.97,USD
06/10/2020,BBG000BSLZY7,36.75,USD
07/10/2020,BBG000BSLZY7,37.78,USD
08/10/2020,BBG000BSLZY7,37.74,USD
09/10/2020,BBG000BSLZY7,38.23,USD
12/10/2020,BBG000BSLZY7,38.47,USD
13/10/2020,BBG000BSLZY7,37.61,USD
14/10/2020,BBG000BSLZY7,37.12,USD
15/10/2020,BBG000BSLZY7,39.03,USD
16/10/2020,BBG000BSLZY7,39.29,USD
19/10/2020,BBG000BSLZY7,38.89,USD
20/10/2020,BBG000BSLZY7,39.13,USD
21/10/2020,BBG000BSLZY7,38.93,USD
22/10/2020,BBG000BSLZY7,40.13,USD
23/10/2020,BBG000BSLZY7,40.35,USD
26/10/2020,BBG000BSLZY7,39.15,USD
27/10/2020,BBG000BSLZY7,38.47,USD
28/10/2020,BBG000BSLZY7,38.15,USD
29/10/2020,BBG000BSLZY7,40.31,USD
30/10/2020,BBG000BSLZY7,41.11,USD
02/11/2020,BBG000BSLZY7,41.26,USD
03/11/2020,BBG000BSLZY7,42.56,USD
04/11/2020,BBG000BSLZY7,40.84,USD
05/11/2020,BBG000BSLZY7,41.45,USD
06/11/2020,BBG000BSLZY7,41.13,USD
09/11/2020,BBG000BSLZY7,44.96,USD
10/11/2020,BBG000BSLZY7,46.42,USD
11/11/2020,BBG000BSLZY7,46.23,USD
12/11/2020,BBG000BSLZY7,44.72,USD
13/11/2020,BBG000BSLZY7,46,USD
16/11/2020,BBG000BSLZY7,46.89,USD
17/11/2020,BBG000BSLZY7,48.9,USD
18/11/2020,BBG000BSLZY7,47.7,USD
19/11/2020,BBG000BSLZY7,47.08,USD
20/11/2020,BBG000BSLZY7,46.61,USD
23/11/2020,BBG000BSLZY7,48.24,USD
24/11/2020,BBG000BSLZY7,49.79,USD
25/11/2020,BBG000BSLZY7,49.75,USD
27/11/2020,BBG000BSLZY7,49.7,USD
30/11/2020,BBG000BSLZY7,48.78,USD
01/12/2020,BBG000BSLZY7,50.02,USD
02/12/2020,BBG000BSLZY7,50.86,USD
03/12/2020,BBG000BSLZY7,51.07,USD
04/12/2020,BBG000BSLZY7,50.99,USD
07/12/2020,BBG000BSLZY7,50.76,USD
08/12/2020,BBG000BSLZY7,50.55,USD
09/12/2020,BBG000BSLZY7,50.55,USD
10/12/2020,BBG000BSLZY7,50.1,USD
11/12/2020,BBG000BSLZY7,49.43,USD
14/12/2020,BBG000BSLZY7,49.84,USD
15/12/2020,BBG000BSLZY7,51.05,USD
16/12/2020,BBG000BSLZY7,51.68,USD
17/12/2020,BBG000BSLZY7,51.78,USD
18/12/2020,BBG000BSLZY7,51.98,USD
21/12/2020,BBG000BSLZY7,51.75,USD
22/12/2020,BBG000BSLZY7,51.64,USD
23/12/2020,BBG000BSLZY7,52.35,USD
24/12/2020,BBG000BSLZY7,52.06,USD
28/12/2020,BBG000BSLZY7,52.94,USD
29/12/2020,BBG000BSLZY7,52.54,USD
30/12/2020,BBG000BSLZY7,52.41,USD
31/12/2020,BBG000BSLZY7,53.04,USD
04/01/2021,BBG000BSLZY7,52.76,USD
05/01/2021,BBG000BSLZY7,52.77,USD
06/01/2021,BBG000BSLZY7,57.41,USD
07/01/2021,BBG000BSLZY7,59.06,USD
08/01/2021,BBG000BSLZY7,58.98,USD
11/01/2021,BBG000BSLZY7,60.25,USD
12/01/2021,BBG000BSLZY7,61.2,USD
13/01/2021,BBG000BSLZY7,59.51,USD
14/01/2021,BBG000BSLZY7,59.33,USD
15/01/2021,BBG000BSLZY7,58.75,USD
19/01/2021,BBG000BSLZY7,59.23,USD
20/01/2021,BBG000BSLZY7,58.61,USD
21/01/2021,BBG000BSLZY7,58.7,USD
22/01/2021,BBG000BSLZY7,58.4,USD
25/01/2021,BBG000BSLZY7,57.08,USD
26/01/2021,BBG000BSLZY7,56.21,USD
27/01/2021,BBG000BSLZY7,53.29,USD
28/01/2021,BBG000BSLZY7,53.74,USD
29/01/2021,BBG000BSLZY7,51.54,USD
01/02/2021,BBG000BSLZY7,53.37,USD
02/02/2021,BBG000BSLZY7,54.54,USD
03/02/2021,BBG000BSLZY7,53.46,USD
04/02/2021,BBG000BSLZY7,55.2,USD
05/02/2021,BBG000BSLZY7,55.74,USD
08/02/2021,BBG000BSLZY7,55.85,USD
09/02/2021,BBG000BSLZY7,56.27,USD
10/02/2021,BBG000BSLZY7,55.7,USD
11/02/2021,BBG000BSLZY7,55.93,USD
12/02/2021,BBG000BSLZY7,58.19,USD
16/02/2021,BBG000BSLZY7,60.95,USD
17/02/2021,BBG000BSLZY7,61.3,USD
18/02/2021,BBG000BSLZY7,61.93,USD
19/02/2021,BBG000BSLZY7,61.91,USD
22/02/2021,BBG000BSLZY7,62.95,USD
23/02/2021,BBG000BSLZY7,62.67,USD
24/02/2021,BBG000BSLZY7,64.44,USD
25/02/2021,BBG000BSLZY7,63.1,USD
26/02/2021,BBG000BSLZY7,61.72,USD
01/03/2021,BBG000BSLZY7,64.1,USD
02/03/2021,BBG000BSLZY7,63.8,USD
03/03/2021,BBG000BSLZY7,64.96,USD
04/03/2021,BBG000BSLZY7,64.77,USD
05/03/2021,BBG000BSLZY7,65.02,USD
08/03/2021,BBG000BSLZY7,64.46,USD
09/03/2021,BBG000BSLZY7,63.75,USD
10/03/2021,BBG000BSLZY7,65.03,USD
11/03/2021,BBG000BSLZY7,66.41,USD
12/03/2021,BBG000BSLZY7,67.65,USD
15/03/2021,BBG000BSLZY7,66.34,USD
16/03/2021,BBG000BSLZY7,65.47,USD
17/03/2021,BBG000BSLZY7,65.7,USD
18/03/2021,BBG000BSLZY7,66.07,USD
19/03/2021,BBG000BSLZY7,66.05,USD
22/03/2021,BBG000BSLZY7,64.77,USD
23/03/2021,BBG000BSLZY7,63.36,USD
24/03/2021,BBG000BSLZY7,64.12,USD
25/03/2021,BBG000BSLZY7,65.13,USD
26/03/2021,BBG000BSLZY7,65.71,USD
29/03/2021,BBG000BSLZY7,64.11,USD
30/03/2021,BBG000BSLZY7,64.76,USD
31/03/2021,BBG000BSLZY7,65.18,USD
01/04/2021,BBG000BSLZY7,66.44,USD
05/04/2021,BBG000BSLZY7,68.15,USD
06/04/2021,BBG000BSLZY7,67.3,USD
07/04/2021,BBG000BSLZY7,67.05,USD
08/04/2021,BBG000BSLZY7,66.84,USD
09/04/2021,BBG000BSLZY7,67.57,USD
12/04/2021,BBG000BSLZY7,67.71,USD
13/04/2021,BBG000BSLZY7,66.6,USD
14/04/2021,BBG000BSLZY7,67.44,USD
15/04/2021,BBG000BSLZY7,65.5,USD
16/04/2021,BBG000BSLZY7,64.74,USD
19/04/2021,BBG000BSLZY7,65.88,USD
20/04/2021,BBG000BSLZY7,63.69,USD
21/04/2021,BBG000BSLZY7,65.4,USD
22/04/2021,BBG000BSLZY7,64.8,USD
23/04/2021,BBG000BSLZY7,67.14,USD
26/04/2021,BBG000BSLZY7,67.77,USD
27/04/2021,BBG000BSLZY7,69.64,USD
28/04/2021,BBG000BSLZY7,69.86,USD
29/04/2021,BBG000BSLZY7,71.71,USD
30/04/2021,BBG000BSLZY7,70.4,USD
03/05/2021,BBG000BSLZY7,70.94,USD
04/05/2021,BBG000BSLZY7,70.09,USD
05/05/2021,BBG000BSLZY7,70.98,USD
06/05/2021,BBG000BSLZY7,71.52,USD
07/05/2021,BBG000BSLZY7,71.75,USD
10/05/2021,BBG000BSLZY7,71.1,USD
11/05/2021,BBG000BSLZY7,70.63,USD
12/05/2021,BBG000BSLZY7,69.12,USD
13/05/2021,BBG000BSLZY7,70.43,USD
14/05/2021,BBG000BSLZY7,73.25,USD
17/05/2021,BBG000BSLZY7,73,USD
18/05/2021,BBG000BSLZY7,70.9,USD
19/05/2021,BBG000BSLZY7,71.21,USD
20/05/2021,BBG000BSLZY7,70.74,USD
21/05/2021,BBG000BSLZY7,72.17,USD
24/05/2021,BBG000BSLZY7,72.61,USD
25/05/2021,BBG000BSLZY7,71.63,USD
26/05/2021,BBG000BSLZY7,71.53,USD
27/05/2021,BBG000BSLZY7,72.22,USD
