transaction_id,type,units,transaction_price,transaction_date,settlement_date,total_consideration,client_internal,ticker,name,sleeve,trade_to_portfolio_rate
txn_017,Sell,"30,000",278.56,2020-03-08T00:00:00.0000000+00:00,2020-03-11T00:00:00.0000000+00:00,"8,356,800",EQUITY_NVDA,NVDA,NVIDIA,Sleeve 2,0.766355
txn_018,Buy,"25,000",162.53,2020-03-05T00:00:00.0000000+00:00,2020-03-08T00:00:00.0000000+00:00,"4,063,250",EQUITY_JNJ,JNJ,Johnson & Johnson,Sleeve 1,0.772475
txn_019,Buy,"25,000",163.42,2020-03-06T00:00:00.0000000+00:00,2020-03-09T00:00:00.0000000+00:00,"4,085,500",EQUITY_JNJ,JNJ,Johnson & Johnson,Sleeve 1,0.76482
txn_020,Buy,"25,000",162.53,2020-03-05T00:00:00.0000000+00:00,2020-03-08T00:00:00.0000000+00:00,"4,063,250",EQUITY_JNJ,JNJ,Johnson & Johnson,Sleeve 2,0.772475
txn_021,Buy,"25,000",163.42,2020-03-06T00:00:00.0000000+00:00,2020-03-09T00:00:00.0000000+00:00,"4,085,500",EQUITY_JNJ,JNJ,Johnson & Johnson,Sleeve 2,0.76482
txn_022,Sell,"25,000",160.6,2020-03-08T00:00:00.0000000+00:00,2020-03-11T00:00:00.0000000+00:00,"4,015,000",EQUITY_JNJ,JNJ,Johnson & Johnson,Sleeve 1,0.766355
txn_023,Sell,"25,000",160.6,2020-03-08T00:00:00.0000000+00:00,2020-03-11T00:00:00.0000000+00:00,"4,015,000",EQUITY_JNJ,JNJ,Johnson & Johnson,Sleeve 2,0.766355
txn_024,Buy,"10,000",184.72,2020-03-05T00:00:00.0000000+00:00,2020-03-08T00:00:00.0000000+00:00,"1,847,200",EQUITY_PEP,PEP,Pepsico,Sleeve 1,0.772475
txn_025,Buy,"10,000",186.7,2020-03-06T00:00:00.0000000+00:00,2020-03-09T00:00:00.0000000+00:00,"1,867,000",EQUITY_PEP,PEP,Pepsico,Sleeve 2,0.76482
txn_026,Buy,"10,000",185.64,2020-03-07T00:00:00.0000000+00:00,2020-03-10T00:00:00.0000000+00:00,"1,856,400",EQUITY_PEP,PEP,Pepsico,Sleeve 2,0.766342
txn_027,Sell,"20,000",185.6,2020-03-08T00:00:00.0000000+00:00,2020-03-11T00:00:00.0000000+00:00,"3,712,000",EQUITY_PEP,PEP,Pepsico,Sleeve 2,0.766355
