Ticker,Name,Sector,ISIN,CUSIP,Figi
ILMN US,"Illumina, Inc.",Health Care,US4523271090,452327109,BBG000DSMS70
INCY US,Incyte Corporation,Health Care,US45337C1027,45337C102,BBG000BNPSQ9
INTC US,Intel Corporation,Information Technology,US4581401001,458140100,BBG000C0G1D1
INTU US,Intuit,Information Technology,US4612021034,461202103,BBG000BH5DV1
ISRG US,Intuitive Surgical,Health Care,US46120E6023,46120E602,BBG000BJPDZ1
JD US,JD.com,Consumer Discretionary,US47215P1066,47215P106,BBG005YHY0Q7
KDP US,Keurig Dr Pepper Inc.,Consumer Staples,US49271V1008,49271V100,BBG000TJM7F0
KLAC US,KLA Corporation,Information Technology,US4824801009,482480100,BBG000BMTFR4
KHC US,Kraft Heinz Co,Consumer Staples,US5007541064,500754106,BBG005CPNTQ2
LRCX US,Lam Research,Information Technology,US5128071082,512807108,BBG000BNFLM9
LULU US,Lululemon Athletica,Consumer Discretionary,US5500211090,550021109,BBG000R8ZVD1
MAR US,Marriott International,Consumer Discretionary,US5719032022,571903202,BBG000BGD7W6
MRVL US,Marvell Technology Group,Information Technology,BMG5876H1051,,BBG00FZLJ7Y8
MTCH US,Match Group,Communication Services,US57667L1070,57667L107,BBG00VT0KNC3
MXIM US,Maxim Integrated Products,Information Technology,US57772K1016,57772K101,BBG00JPW7422
MELI US,MercadoLibre,Consumer Discretionary,US58733R1023,58733R102,BBG000FVFDY2
MCHP US,Microchip Technology,Information Technology,US5950171042,595017104,BBG000BHCP19
MU US,"Micron Technology, Inc.",Information Technology,US5951121038,595112103,BBG000C5Z1S3
MSFT US,Microsoft Corporation,Information Technology,US5949181045,594918104,BBG000BPH459
MRNA US,Moderna,Health Care,US60770K1079,60770K107,BBG003PHHZT1
MDLZ US,Mondelēz International,Consumer Staples,US6092071058,609207105,BBG000D4LWF6
MNST US,Monster Beverage Corporation,Consumer Staples,US61174X1090,61174X109,BBG008NVB1C0
NTES US,"NetEase, Inc.",Communication Services,US64110W1027,64110W102,BBG000BX72V8
NFLX US,Netflix,Communication Services,US64110L1061,64110L106,BBG000CL9VN6
NVDA US,Nvidia Corporation,Information Technology,US67066G1040,67066G104,BBG000BBJQV0
NXPI US,NXP Semiconductors,Information Technology,NL0009538784,,BBG000BND699
ORLY US,"O'Reilly Automotive, Inc.",Consumer Discretionary,US67103H1077,67103H107,BBG000BGYWY6
OKTA US,"Okta, Inc.",Information Technology,US6792951054,679295105,BBG001YV1SM4
PCAR US,Paccar,Industrials,US6937181088,693718108,BBG000BQVTF5
PAYX US,"Paychex, Inc.",Information Technology,US7043261079,704326107,BBG000BQSQ38
PYPL US,PayPal,Information Technology,US70450Y1038,70450Y103,BBG0077VNXV6
PTON US,Peloton Interactive,Consumer Discretionary,US70614W1009,70614W100,BBG00JG0FFZ2
PEP US,"PepsiCo, Inc.",Consumer Staples,US7134481081,713448108,BBG000C1X2B0
PDD US,Pinduoduo Inc.,Consumer Discretionary,US7223041028,722304102,BBG00LBLDDR2
QCOM US,Qualcomm,Information Technology,US7475251036,747525103,BBG000CGC1X8
REGN US,Regeneron Pharmaceuticals,Health Care,US75886F1075,75886F107,BBG000C734W3
ROST US,"Ross Stores, Inc.",Consumer Discretionary,US7782961038,778296103,BBG000BSBZH7
SGEN US,Seagen Inc.,Health Care,US81181C1045,81181C104,BBG000BH0FR6
SIRI US,Sirius XM Holdings Inc.,Communication Services,US82968B1035,82968B103,BBG000BGPKZ1
SWKS US,"Skyworks Solutions, Inc.",Information Technology,US83088M1027,83088M102,BBG000GB4HW0
SPLK US,Splunk,Information Technology,US8486371045,848637104,BBG001C7TST4
SBUX US,Starbucks Corporation,Consumer Discretionary,US8552441094,855244109,BBG000CTQBF3
SNPS US,"Synopsys, Inc.",Information Technology,US8716071076,871607107,BBG000BSFRF3
TMUS US,T-Mobile US,Communication Services,US8725901040,872590104,BBG000NDV1D4
TSLA US,"Tesla, Inc.",Consumer Discretionary,US88160R1014,88160R101,BBG000N9MNX3
TXN US,Texas Instruments,Information Technology,US8825081040,882508104,BBG000BVV7G1
TCOM US,Trip.com Group,Consumer Discretionary,US89677Q1076,89677Q107,BBG000BDFGF0
VRSN US,Verisign,Information Technology,US92343E1029,9.23E+106,BBG000BGKHZ3
VRSK US,Verisk Analytics,Industrials,US92345Y1064,92345Y106,BBG000BCZL41
VRTX US,Vertex Pharmaceuticals,Health Care,US92532F1003,92532F100,BBG000C1S2X2
WBA US,"Walgreen Boots Alliance, Inc.",Consumer Staples,US9314271084,931427108,BBG000BWLMJ4
WDAY US,"Workday, Inc.",Information Technology,US98138H1014,98138H101,BBG000VC0T95
XEL US,Xcel Energy Inc.,Utilities,US98389B1008,98389B100,BBG000BCTQ65
XLNX US,"Xilinx, Inc.",Information Technology,US9839191015,983919101,BBG004PYGYW2
ZM US,Zoom Video Communications,Information Technology,US98980L1017,98980L101,BBG0042V6JM8
