identifierScheme,identifier,BC,status,FISNLanguage,FISNSIX,FISN,CFISIX,CFI,swissValorNumber,ISIN,SIXCurrencyCodeAlphabetical,austrianNumber,canadianCUSIP,germanWPKN,danishNumber,frenchRGACode,frenchEuroclearNumberSICOVAM,UKSEDOLNumber,hongKongIssueNumber,italianNumber,japaneseNumberTSECode,japaneseNumberSICC,southKoreanNumber,luxembourgNumber,dutchNumber,norwegianNumber,portugueseNumber,swedishNumber,CUSIPInternationalNumber,USCUSIP,commonCode,belgianNumber,FIGIGlobalShareClassId,FIGIGlobalId,alternativeInstrumentIdentifier,clearingCode,tradingSymbol,listingSymbol,FIGIGlobalCompositeId,SIXSymbol,multipleSEDOL,tradingSegment,productGroup,SIXMarketCodeNumerical,SIXMarketCodeAlphabetical,MICOfSIXMarketCode
CH,25187155,65,Delivered,5,Medtronic/RegSh USD0.0001,,ESVUFR,,25187155,IE00BTN1Y115,,,,A14M2J,,,,,,,,,,,,,,,,,117934322,627583532,BBG001S5T2S9,BBG000BNWJ36,,,MDT,MDT,BBG000BNWG87,,,,,65,NYX,XNYS
CH,30948740,67,Delivered,5,Willis Towers/RegSh USD0.000304635,,ESVUFR,,30948740,IE00BDB6Q211,,,,A2AC3K,,,,,,,,,,,,,,,,,134250623,632978045,BBG001SHY2Q9,,,,WTW,WTW,,,,15,,67,NMS,XNAS
CH,11265257,65,Delivered,5,Lyondellbasell/RegSh EUR0.04,,ESVUFR,,11265257,NL0009434992,,,,A1CWRM,,,,,,,,,,,,,,,,,50828824,621389575,BBG001T8LMY9,BBG000WCFWH2,,,LYB,LYB,BBG000WCFV84,,,,,65,NYX,XNYS
CH,11440532,65,Delivered,4,Garmin/RegSh USD0.1,,,,11440532,CH0114405324,,,,A1C06B,,,,,,,,,,,,,,,,,51946014,620041679,BBG001SG0H12,,,,GRMN,GRMN,,,,,,65,NYX,XNYS
CH,51778893,65,Delivered,5,Aon/RegSh USD150,,ESVUFR,,51778893,IE00BLP1HW54,,,,A2P2JR,,,,,,,,,,,,,,,,,215337626,,BBG00SSQFPR9,,,,AON,AON,,,,,,65,NYX,XNYS
CH,22008864,65,Delivered,5,Perrigo/RegSh EUR0.001,,ESVUFR,,22008864,IE00BGH1M568,,,,A1XAEY,,,,,,,,,,,,,,,,,,627294350,BBG001S704D8,BBG000CNGTY7,,,PRGO,PRGO,BBG000CNFQW6,,,,,65,NYX,XNYS
CH,1222171,4,Delivered,4,ABB/RegSh CHF0.12,,,,1222171,CH0012221716,,919730,,919730,,,505385,,,,,,,,,,,,,,12891539,99466628,BBG001SCX147,BBG00HCY4J44,,,ABBN,,BBG000DM2M32,,,IR,ACBc,4,SWX,XSWX
CH,2340545,4,Delivered,4,Avolta/RegSh CHF5,,,,2340545,CH0023405456,,A0HMLM,,A0HMLM,,,,,,,,,,,,,,,,,23609983,503497189,BBG001SHKDH0,BBG000HHBRP4,,,AVOL,,BBG000HHBQD9,,,IR,ABck,4,SWX,XSWX
CH,1213860,4,Delivered,4,Adecco Group/RegSh CHF0.1,,,,1213860,CH0012138605,,922031,,922031,,505650,12819,,,,,,,,,,,,,,12891768,99477338,BBG001S976F0,BBG00HCY5KD0,,,ADEN,,BBG000BSK6S9,,,IR,ABck,4,SWX,XSWX
CH,24476758,4,Delivered,4,UBS Group/RegSh USD0.1,,,,24476758,CH0244767585,,,,A12DFH,,,,,,,,,,,,,,,,,111853045,627230187,BBG007936GX0,BBG00HCYVBT4,,,UBSG,,BBG007936GV2,,,IR,ACBc,4,SWX,XSWX
CH,1919955,4,Delivered,4,Alpine Select/RegSh CHF0.02,,,,1919955,CH0019199550,,A0B739,,A0B739,,,,,,,,,,,,,,,,,19999637,,BBG001S6MNV4,BBG000C8C2Y3,,,ALPN,,BBG000C8C1R3,,,SR,ABck,4,SWX,XSWX
CH,1203211,4,Delivered,4,Roche Hldg/BrSh CHF1,,,,1203211,CH0012032113,,851311,,851311,,,505315,,,,,,,,,,,,,,12875533,99467638,BBG001S6BD20,BBG000BCLWW1,,,RO,,BBG000BCLVP1,,,IR,ABck,4,SWX,XSWX
CH,117544866,4,Delivered,4,Straumann Hldg/RegSh CHF0.01,,,,117544866,CH1175448666,,,,A3DHHH,,,,,,,,,,,,,,,,,246932522,633443342,,BBG000C1Y7D6,,,STMN,,BBG000C1Y6Q4,,,IR,ACBc,4,SWX,XSWX
CH,1221405,4,Delivered,4,Holcim/RegSh CHF2,,,,1221405,CH0012214059,,869898,,869898,,,505883,,,,,,,,,,,,,,12974116,99488957,BBG001S68MH8,BBG00HCYM4R2,,,HOLN,,BBG000BWZDP2,,,IR,ACBc,4,SWX,XSWX
CH,2460882,4,Delivered,4,Part Grp Hldg/RegSh CHF0.01,,,,2460882,CH0024608827,,,,A0JJY6,,,,,,,,,,,,,,,,,24584313,504318053,BBG001SJVNZ2,BBG000DYF717,,,PGHN,,BBG000DYF655,,,IR,ACBc,4,SWX,XSWX
CH,3886335,4,Delivered,4,Nestle/RegSh CHF0.1,,,,3886335,CH0038863350,,,,A0Q4DC,,,,,,,,,,,,,,,,,37123978,511406632,BBG001S6BX08,BBG00HCYRYM6,,,NESN,,BBG000CPBD63,,,IR,ACBc,4,SWX,XSWX
CH,1067586,4,Delivered,4,Swissquote Grp/RegSh CHF0.2,,,,1067586,CH0010675863,,938312,,938312,,,987981,,,,,,,,,,,,,,11265979,99027704,BBG001SB8Q42,BBG000BVVJ39,,,SQN,,BBG000BVVG99,,,IR,ABck,4,SWX,XSWX
CH,11024060,4,Delivered,4,Arbonia/RegSh CHF4.2,,,,11024060,CH0110240600,,,,A1CUXD,,,,,,,,,,,,,,,,,50517152,517974340,BBG001S6RLF1,BBG000BDTL37,,,ARBN,,BBG000BDTJT4,,,IR,ABck,4,SWX,XSWX
CH,41879292,4,Delivered,4,Sika/RegSh RegS CHF0.01,,,,41879292,CH0418792922,,,,A2JNV8,,,,,,,,,,,,,,,,,183807846,630546375,BBG001S69H51,BBG000BC98J3,,,SIKA,,BBG000BC97P8,,,IR,ACBc,4,SWX,XSWX
CH,1107539,4,Delivered,4,Zurich Insur Gr/RegSh CHF0.1,,,,1107539,CH0011075394,,579919,,579919,,,995199,,,,,,,,,,,,,,11659896,99187954,BBG001SCHTR9,BBG00HCYVMX5,,,ZURN,,BBG000DM6PM0,,,IR,ACBc,4,SWX,XSWX
ISIN,DE0009652644,21,Delivered,4,Benchm Rate/EURO BUND FUTURES,,TRFMXX,,954479,DE0009652644,,965264,,965264,,,,,,,,,,,,,,,,,20386517,504761122,,,,,GBL,,,,,,,21,EUX,XEUR
