client_id,settlement_date,total_consideration,currency,pay_receive
LON343239,01/01/2024,216000,GBP,Pay
SYD241232,01/01/2024,193500,GBP,Pay
LON343239,01/02/2024,223200,GBP,Pay
SYD241232,01/02/2024,199950,GBP,Pay
LON343239,29/02/2024,208800,GBP,Pay
SYD241232,29/02/2024,187050,GBP,Pay
LON343239,31/03/2024,223200,GBP,Pay
SYD241232,31/03/2024,199950,GBP,Pay
LON343239,30/04/2024,216000,GBP,Pay
SYD241232,30/04/2024,193500,GBP,Pay
LON343239,31/05/2024,223200,GBP,Pay
SYD241232,31/05/2024,199950,GBP,Pay
LON343239,30/06/2024,216000,GBP,Pay
SYD241232,30/06/2024,193500,GBP,Pay
LON343239,31/07/2024,216000,GBP,Pay
SYD241232,31/07/2024,193500,GBP,Pay
LON343239,31/08/2024,216000,GBP,Pay
SYD241232,31/08/2024,193500,GBP,Pay
LON343239,30/09/2024,216000,GBP,Pay
SYD241232,30/09/2024,193500,GBP,Pay
LON343239,31/10/2024,216000,GBP,Pay
SYD241232,31/10/2024,193500,GBP,Pay
LON343239,30/11/2024,216000,GBP,Pay
SYD241232,30/11/2024,193500,GBP,Pay
LON343239,31/12/2024,216000,GBP,Pay
SYD241232,31/12/2024,193500,GBP,Pay
LON343239,31/01/2025,223200,GBP,Pay
SYD241232,31/01/2025,199950,GBP,Pay
LON343239,28/02/2025,201600,GBP,Pay
SYD241232,28/02/2025,180600,GBP,Pay
LON343239,31/03/2025,223200,GBP,Pay
SYD241232,31/03/2025,199950,GBP,Pay
LON343239,30/04/2025,216000,GBP,Pay
SYD241232,30/04/2025,193500,GBP,Pay
LON343239,31/05/2025,223200,GBP,Pay
SYD241232,31/05/2025,199950,GBP,Pay
LON343239,30/06/2025,216000,GBP,Pay
SYD241232,30/06/2025,193500,GBP,Pay
LON343239,31/07/2025,216000,GBP,Pay
SYD241232,31/07/2025,193500,GBP,Pay
LON343239,31/08/2025,216000,GBP,Pay
SYD241232,31/08/2025,193500,GBP,Pay
LON343239,30/09/2025,216000,GBP,Pay
SYD241232,30/09/2025,193500,GBP,Pay
LON343239,31/10/2025,216000,GBP,Pay
SYD241232,31/10/2025,193500,GBP,Pay
LON343239,30/11/2025,216000,GBP,Pay
SYD241232,30/11/2025,193500,GBP,Pay
LON343239,31/12/2025,216000,GBP,Pay
SYD241232,31/12/2025,193500,GBP,Pay
LON343239,31/01/2026,223200,GBP,Pay
SYD241232,31/01/2026,199950,GBP,Pay
LON343239,28/02/2026,201600,GBP,Pay
SYD241232,28/02/2026,180600,GBP,Pay
LON343239,31/03/2026,223200,GBP,Pay
SYD241232,31/03/2026,199950,GBP,Pay
LON343239,30/04/2026,216000,GBP,Pay
SYD241232,30/04/2026,193500,GBP,Pay
LON343239,31/05/2026,223200,GBP,Pay
SYD241232,31/05/2026,199950,GBP,Pay
LON343239,30/06/2026,216000,GBP,Pay
SYD241232,30/06/2026,193500,GBP,Pay
LON343239,31/07/2026,216000,GBP,Pay
SYD241232,31/07/2026,193500,GBP,Pay
LON343239,31/08/2026,216000,GBP,Pay
SYD241232,31/08/2026,193500,GBP,Pay
LON343239,30/09/2026,216000,GBP,Pay
SYD241232,30/09/2026,193500,GBP,Pay
LON343239,31/10/2026,216000,GBP,Pay
SYD241232,31/10/2026,193500,GBP,Pay
LON343239,30/11/2026,216000,GBP,Pay
SYD241232,30/11/2026,193500,GBP,Pay
LON343239,31/12/2026,216000,GBP,Pay
SYD241232,31/12/2026,193500,GBP,Pay
LON343239,01/02/2027,223200,GBP,Pay
SYD241232,01/02/2027,199950,GBP,Pay
LON343239,01/03/2027,201600,GBP,Pay
SYD241232,01/03/2027,180600,GBP,Pay
LON343239,01/04/2027,223200,GBP,Pay
SYD241232,01/04/2027,199950,GBP,Pay
LON343239,01/05/2027,216000,GBP,Pay
SYD241232,01/05/2027,193500,GBP,Pay
LON343239,01/06/2027,223200,GBP,Pay
SYD241232,01/06/2027,199950,GBP,Pay
LON343239,01/07/2027,216000,GBP,Pay
SYD241232,01/07/2027,193500,GBP,Pay
LON343239,01/08/2027,216000,GBP,Pay
SYD241232,01/08/2027,193500,GBP,Pay
LON343239,01/09/2027,216000,GBP,Pay
SYD241232,01/09/2027,193500,GBP,Pay
LON343239,01/10/2027,216000,GBP,Pay
SYD241232,01/10/2027,193500,GBP,Pay
LON343239,01/11/2027,216000,GBP,Pay
SYD241232,01/11/2027,193500,GBP,Pay
LON343239,01/12/2027,216000,GBP,Pay
SYD241232,01/12/2027,193500,GBP,Pay
LON343239,01/01/2028,216000,GBP,Pay
SYD241232,01/01/2028,193500,GBP,Pay
LON343239,01/02/2028,223200,GBP,Pay
SYD241232,01/02/2028,199950,GBP,Pay
LON343239,29/02/2028,201600,GBP,Pay
SYD241232,29/02/2028,180600,GBP,Pay
LON343239,31/03/2028,223200,GBP,Pay
SYD241232,31/03/2028,199950,GBP,Pay
LON343239,30/04/2028,216000,GBP,Pay
SYD241232,30/04/2028,193500,GBP,Pay
LON343239,31/05/2028,223200,GBP,Pay
SYD241232,31/05/2028,199950,GBP,Pay
LON343239,30/06/2028,216000,GBP,Pay
SYD241232,30/06/2028,193500,GBP,Pay
LON343239,31/07/2028,216000,GBP,Pay
SYD241232,31/07/2028,193500,GBP,Pay
LON343239,31/08/2028,216000,GBP,Pay
SYD241232,31/08/2028,193500,GBP,Pay
LON343239,30/09/2028,216000,GBP,Pay
SYD241232,30/09/2028,193500,GBP,Pay
LON343239,31/10/2028,216000,GBP,Pay
SYD241232,31/10/2028,193500,GBP,Pay
LON343239,30/11/2028,216000,GBP,Pay
SYD241232,30/11/2028,193500,GBP,Pay
LON343239,31/12/2028,216000,GBP,Pay
SYD241232,31/12/2028,193500,GBP,Pay
LON343239,31/01/2029,223200,GBP,Pay
SYD241232,31/01/2029,199950,GBP,Pay
LON343239,28/02/2029,208800,GBP,Pay
SYD241232,28/02/2029,187050,GBP,Pay
LON343239,31/03/2029,223200,GBP,Pay
SYD241232,31/03/2029,199950,GBP,Pay
LON343239,30/04/2029,216000,GBP,Pay
SYD241232,30/04/2029,193500,GBP,Pay
LON343239,31/05/2029,223200,GBP,Pay
SYD241232,31/05/2029,199950,GBP,Pay
LON343239,30/06/2029,216000,GBP,Pay
SYD241232,30/06/2029,193500,GBP,Pay
LON343239,31/07/2029,216000,GBP,Pay
SYD241232,31/07/2029,193500,GBP,Pay
LON343239,31/08/2029,216000,GBP,Pay
SYD241232,31/08/2029,193500,GBP,Pay
LON343239,30/09/2029,216000,GBP,Pay
SYD241232,30/09/2029,193500,GBP,Pay
LON343239,31/10/2029,216000,GBP,Pay
SYD241232,31/10/2029,193500,GBP,Pay
LON343239,30/11/2029,216000,GBP,Pay
SYD241232,30/11/2029,193500,GBP,Pay
LON343239,31/12/2029,216000,GBP,Pay
SYD241232,31/12/2029,193500,GBP,Pay
LON343239,31/01/2030,223200,GBP,Pay
SYD241232,31/01/2030,199950,GBP,Pay
LON343239,28/02/2030,201600,GBP,Pay
SYD241232,28/02/2030,180600,GBP,Pay
LON343239,31/03/2030,223200,GBP,Pay
SYD241232,31/03/2030,199950,GBP,Pay
LON343239,30/04/2030,216000,GBP,Pay
SYD241232,30/04/2030,193500,GBP,Pay
LON343239,31/05/2030,223200,GBP,Pay
SYD241232,31/05/2030,199950,GBP,Pay
LON343239,30/06/2030,216000,GBP,Pay
SYD241232,30/06/2030,193500,GBP,Pay
LON343239,31/07/2030,216000,GBP,Pay
SYD241232,31/07/2030,193500,GBP,Pay
LON343239,31/08/2030,216000,GBP,Pay
SYD241232,31/08/2030,193500,GBP,Pay
LON343239,30/09/2030,216000,GBP,Pay
SYD241232,30/09/2030,193500,GBP,Pay
LON343239,31/10/2030,216000,GBP,Pay
SYD241232,31/10/2030,193500,GBP,Pay
LON343239,30/11/2030,216000,GBP,Pay
SYD241232,30/11/2030,193500,GBP,Pay
LON343239,31/12/2030,216000,GBP,Pay
SYD241232,31/12/2030,193500,GBP,Pay
LON343239,31/01/2031,223200,GBP,Pay
SYD241232,31/01/2031,199950,GBP,Pay
LON343239,28/02/2031,201600,GBP,Pay
SYD241232,28/02/2031,180600,GBP,Pay
LON343239,31/03/2031,223200,GBP,Pay
SYD241232,31/03/2031,199950,GBP,Pay
LON343239,30/04/2031,216000,GBP,Pay
SYD241232,30/04/2031,193500,GBP,Pay
LON343239,31/05/2031,223200,GBP,Pay
SYD241232,31/05/2031,199950,GBP,Pay
LON343239,30/06/2031,216000,GBP,Pay
SYD241232,30/06/2031,193500,GBP,Pay
LON343239,31/07/2031,216000,GBP,Pay
SYD241232,31/07/2031,193500,GBP,Pay
LON343239,31/08/2031,216000,GBP,Pay
SYD241232,31/08/2031,193500,GBP,Pay
LON343239,30/09/2031,216000,GBP,Pay
SYD241232,30/09/2031,193500,GBP,Pay
LON343239,31/10/2031,216000,GBP,Pay
SYD241232,31/10/2031,193500,GBP,Pay
LON343239,30/11/2031,216000,GBP,Pay
SYD241232,30/11/2031,193500,GBP,Pay
LON343239,31/12/2031,216000,GBP,Pay
SYD241232,31/12/2031,193500,GBP,Pay
LON343239,31/01/2022,-23790,GBP,Receive
SYD241232,31/01/2022,-18570,GBP,Receive
LON343239,28/02/2022,-14070,GBP,Receive
SYD241232,28/02/2022,-6960,GBP,Receive
LON343239,31/03/2022,-25470,GBP,Receive
SYD241232,31/03/2022,-26520,GBP,Receive
LON343239,30/04/2022,-17670,GBP,Receive
SYD241232,30/04/2022,-7170,GBP,Receive
LON343239,31/05/2022,-10320,GBP,Receive
SYD241232,31/05/2022,-25110,GBP,Receive
LON343239,30/06/2022,-9450,GBP,Receive
SYD241232,30/06/2022,-25470,GBP,Receive
LON343239,31/07/2022,-13410,GBP,Receive
SYD241232,31/07/2022,-27720,GBP,Receive
LON343239,31/08/2022,-14730,GBP,Receive
SYD241232,31/08/2022,-30000,GBP,Receive
LON343239,30/09/2022,-9480,GBP,Receive
SYD241232,30/09/2022,-15540,GBP,Receive
LON343239,31/10/2022,-21780,GBP,Receive
SYD241232,31/10/2022,-13770,GBP,Receive
LON343239,30/11/2022,-9870,GBP,Receive
SYD241232,30/11/2022,-16080,GBP,Receive
LON343239,31/12/2022,-7350,GBP,Receive
SYD241232,31/12/2022,-25680,GBP,Receive
LON343239,31/01/2023,-12480,GBP,Receive
SYD241232,31/01/2023,-11130,GBP,Receive
LON343239,28/02/2023,-28620,GBP,Receive
SYD241232,28/02/2023,-26310,GBP,Receive
LON343239,31/03/2023,-15750,GBP,Receive
SYD241232,31/03/2023,-7410,GBP,Receive
LON343239,30/04/2023,-17640,GBP,Receive
SYD241232,30/04/2023,-24990,GBP,Receive
LON343239,31/05/2023,-18210,GBP,Receive
SYD241232,31/05/2023,-25890,GBP,Receive
LON343239,30/06/2023,-12420,GBP,Receive
SYD241232,30/06/2023,-21420,GBP,Receive
LON343239,31/07/2023,-20490,GBP,Receive
SYD241232,31/07/2023,-10680,GBP,Receive
LON343239,31/08/2023,-25710,GBP,Receive
SYD241232,31/08/2023,-12600,GBP,Receive
LON343239,30/09/2023,-20880,GBP,Receive
SYD241232,30/09/2023,-12930,GBP,Receive
LON343239,31/10/2023,-16110,GBP,Receive
SYD241232,31/10/2023,-29820,GBP,Receive
LON343239,30/11/2023,-21900,GBP,Receive
SYD241232,30/11/2023,-22740,GBP,Receive
LON343239,31/12/2023,-22710,GBP,Receive
SYD241232,31/12/2023,-10680,GBP,Receive
LON343239,31/01/2024,-26310,GBP,Receive
SYD241232,31/01/2024,-21870,GBP,Receive
LON343239,28/02/2024,-16860,GBP,Receive
SYD241232,28/02/2024,-6450,GBP,Receive
LON343239,30/03/2024,-14070,GBP,Receive
SYD241232,30/03/2024,-16920,GBP,Receive
LON343239,29/04/2024,-26010,GBP,Receive
SYD241232,29/04/2024,-21090,GBP,Receive
LON343239,30/05/2024,-8310,GBP,Receive
SYD241232,30/05/2024,-7170,GBP,Receive
LON343239,29/06/2024,-26940,GBP,Receive
SYD241232,29/06/2024,-13620,GBP,Receive
LON343239,30/07/2024,-6870,GBP,Receive
SYD241232,30/07/2024,-11760,GBP,Receive
LON343239,30/08/2024,-17940,GBP,Receive
SYD241232,30/08/2024,-13080,GBP,Receive
LON343239,29/09/2024,-9570,GBP,Receive
SYD241232,29/09/2024,-14430,GBP,Receive
LON343239,30/10/2024,-17700,GBP,Receive
SYD241232,30/10/2024,-23400,GBP,Receive
LON343239,29/11/2024,-8010,GBP,Receive
SYD241232,29/11/2024,-17310,GBP,Receive
LON343239,30/12/2024,-14280,GBP,Receive
SYD241232,30/12/2024,-10200,GBP,Receive
LON343239,30/01/2025,-27360,GBP,Receive
SYD241232,30/01/2025,-20340,GBP,Receive
LON343239,27/02/2025,-6420,GBP,Receive
SYD241232,27/02/2025,-18900,GBP,Receive
LON343239,30/03/2025,-9900,GBP,Receive
SYD241232,30/03/2025,-14550,GBP,Receive
LON343239,29/04/2025,-19920,GBP,Receive
SYD241232,29/04/2025,-6630,GBP,Receive
LON343239,30/05/2025,-14490,GBP,Receive
SYD241232,30/05/2025,-28710,GBP,Receive
LON343239,29/06/2025,-11070,GBP,Receive
SYD241232,29/06/2025,-14070,GBP,Receive
LON343239,30/07/2025,-22290,GBP,Receive
SYD241232,30/07/2025,-6060,GBP,Receive
LON343239,30/08/2025,-17490,GBP,Receive
SYD241232,30/08/2025,-17970,GBP,Receive
LON343239,29/09/2025,-23520,GBP,Receive
SYD241232,29/09/2025,-23130,GBP,Receive
LON343239,30/10/2025,-7980,GBP,Receive
SYD241232,30/10/2025,-6360,GBP,Receive
LON343239,29/11/2025,-8400,GBP,Receive
SYD241232,29/11/2025,-26610,GBP,Receive
LON343239,30/12/2025,-19560,GBP,Receive
SYD241232,30/12/2025,-10050,GBP,Receive
LON343239,30/01/2026,-26430,GBP,Receive
SYD241232,30/01/2026,-24750,GBP,Receive
LON343239,27/02/2026,-11670,GBP,Receive
SYD241232,27/02/2026,-15060,GBP,Receive
LON343239,30/03/2026,-13050,GBP,Receive
SYD241232,30/03/2026,-23310,GBP,Receive
LON343239,29/04/2026,-14790,GBP,Receive
SYD241232,29/04/2026,-29340,GBP,Receive
LON343239,30/05/2026,-9810,GBP,Receive
SYD241232,30/05/2026,-23700,GBP,Receive
LON343239,29/06/2026,-19260,GBP,Receive
SYD241232,29/06/2026,-21570,GBP,Receive
LON343239,30/07/2026,-20190,GBP,Receive
SYD241232,30/07/2026,-26850,GBP,Receive
LON343239,30/08/2026,-22650,GBP,Receive
SYD241232,30/08/2026,-21750,GBP,Receive
LON343239,29/09/2026,-11310,GBP,Receive
SYD241232,29/09/2026,-16860,GBP,Receive
LON343239,30/10/2026,-6300,GBP,Receive
SYD241232,30/10/2026,-17880,GBP,Receive
LON343239,29/11/2026,-9720,GBP,Receive
SYD241232,29/11/2026,-9750,GBP,Receive
LON343239,30/12/2026,-10890,GBP,Receive
SYD241232,30/12/2026,-9870,GBP,Receive
LON343239,31/01/2027,-16290,GBP,Receive
SYD241232,31/01/2027,-6870,GBP,Receive
LON343239,28/02/2027,-11250,GBP,Receive
SYD241232,28/02/2027,-23100,GBP,Receive
LON343239,31/03/2027,-23130,GBP,Receive
SYD241232,31/03/2027,-13020,GBP,Receive
LON343239,30/04/2027,-7350,GBP,Receive
SYD241232,30/04/2027,-26700,GBP,Receive
LON343239,31/05/2027,-12840,GBP,Receive
SYD241232,31/05/2027,-29700,GBP,Receive
LON343239,30/06/2027,-14520,GBP,Receive
SYD241232,30/06/2027,-13500,GBP,Receive
LON343239,31/07/2027,-19830,GBP,Receive
SYD241232,31/07/2027,-6210,GBP,Receive
LON343239,31/08/2027,-25590,GBP,Receive
SYD241232,31/08/2027,-9360,GBP,Receive
LON343239,30/09/2027,-26610,GBP,Receive
SYD241232,30/09/2027,-19200,GBP,Receive
LON343239,31/10/2027,-24840,GBP,Receive
SYD241232,31/10/2027,-20520,GBP,Receive
LON343239,30/11/2027,-4410,GBP,Receive
SYD241232,30/11/2027,-4170,GBP,Receive
LON343239,31/12/2027,-18300,GBP,Receive
SYD241232,31/12/2027,-3570,GBP,Receive
LON343239,31/01/2028,-28530,GBP,Receive
SYD241232,31/01/2028,-12030,GBP,Receive
LON343239,28/02/2028,-24090,GBP,Receive
SYD241232,28/02/2028,-11280,GBP,Receive
LON343239,30/03/2028,-7020,GBP,Receive
SYD241232,30/03/2028,-24480,GBP,Receive
LON343239,29/04/2028,-7860,GBP,Receive
SYD241232,29/04/2028,-26670,GBP,Receive
LON343239,30/05/2028,-10980,GBP,Receive
SYD241232,30/05/2028,-13860,GBP,Receive
LON343239,29/06/2028,-20400,GBP,Receive
SYD241232,29/06/2028,-19860,GBP,Receive
LON343239,30/07/2028,-21780,GBP,Receive
SYD241232,30/07/2028,-8490,GBP,Receive
LON343239,30/08/2028,-28200,GBP,Receive
SYD241232,30/08/2028,-29790,GBP,Receive
LON343239,29/09/2028,-22890,GBP,Receive
SYD241232,29/09/2028,-28560,GBP,Receive
LON343239,30/10/2028,-15600,GBP,Receive
SYD241232,30/10/2028,-25230,GBP,Receive
LON343239,29/11/2028,-26640,GBP,Receive
SYD241232,29/11/2028,-4530,GBP,Receive
LON343239,30/12/2028,-3840,GBP,Receive
SYD241232,30/12/2028,-8910,GBP,Receive
LON343239,30/01/2029,-26400,GBP,Receive
SYD241232,30/01/2029,-6150,GBP,Receive
LON343239,27/02/2029,-19080,GBP,Receive
SYD241232,27/02/2029,-27600,GBP,Receive
LON343239,30/03/2029,-8940,GBP,Receive
SYD241232,30/03/2029,-5790,GBP,Receive
LON343239,29/04/2029,-22590,GBP,Receive
SYD241232,29/04/2029,-13500,GBP,Receive
LON343239,30/05/2029,-14550,GBP,Receive
SYD241232,30/05/2029,-7170,GBP,Receive
LON343239,29/06/2029,-17430,GBP,Receive
SYD241232,29/06/2029,-28830,GBP,Receive
LON343239,30/07/2029,-12750,GBP,Receive
SYD241232,30/07/2029,-20760,GBP,Receive
LON343239,30/08/2029,-11130,GBP,Receive
SYD241232,30/08/2029,-21750,GBP,Receive
LON343239,29/09/2029,-15630,GBP,Receive
SYD241232,29/09/2029,-17820,GBP,Receive
LON343239,30/10/2029,-25800,GBP,Receive
SYD241232,30/10/2029,-8280,GBP,Receive
LON343239,29/11/2029,-10920,GBP,Receive
SYD241232,29/11/2029,-13980,GBP,Receive
LON343239,30/12/2029,-10560,GBP,Receive
SYD241232,30/12/2029,-20850,GBP,Receive
LON343239,30/01/2030,-12060,GBP,Receive
SYD241232,30/01/2030,-26160,GBP,Receive
LON343239,27/02/2030,-17580,GBP,Receive
SYD241232,27/02/2030,-16920,GBP,Receive
LON343239,30/03/2030,-21660,GBP,Receive
SYD241232,30/03/2030,-29640,GBP,Receive
LON343239,29/04/2030,-9270,GBP,Receive
SYD241232,29/04/2030,-15360,GBP,Receive
LON343239,30/05/2030,-14430,GBP,Receive
SYD241232,30/05/2030,-11040,GBP,Receive
LON343239,29/06/2030,-20490,GBP,Receive
SYD241232,29/06/2030,-8610,GBP,Receive
LON343239,30/07/2030,-22140,GBP,Receive
SYD241232,30/07/2030,-23310,GBP,Receive
LON343239,30/08/2030,-21270,GBP,Receive
SYD241232,30/08/2030,-23610,GBP,Receive
LON343239,29/09/2030,-9750,GBP,Receive
SYD241232,29/09/2030,-20580,GBP,Receive
LON343239,30/10/2030,-21240,GBP,Receive
SYD241232,30/10/2030,-13980,GBP,Receive
LON343239,29/11/2030,-7680,GBP,Receive
SYD241232,29/11/2030,-22380,GBP,Receive
LON343239,30/12/2030,-7500,GBP,Receive
SYD241232,30/12/2030,-26640,GBP,Receive
LON343239,30/01/2031,-23190,GBP,Receive
SYD241232,30/01/2031,-28410,GBP,Receive
LON343239,27/02/2031,-18150,GBP,Receive
SYD241232,27/02/2031,-6390,GBP,Receive
LON343239,30/03/2031,-25290,GBP,Receive
SYD241232,30/03/2031,-4980,GBP,Receive
LON343239,29/04/2031,-14040,GBP,Receive
SYD241232,29/04/2031,-11580,GBP,Receive
LON343239,30/05/2031,-14820,GBP,Receive
SYD241232,30/05/2031,-8220,GBP,Receive
LON343239,29/06/2031,-15750,GBP,Receive
SYD241232,29/06/2031,-26910,GBP,Receive
LON343239,30/07/2031,-13410,GBP,Receive
SYD241232,30/07/2031,-8100,GBP,Receive
LON343239,30/08/2031,-16260,GBP,Receive
SYD241232,30/08/2031,-21060,GBP,Receive
LON343239,29/09/2031,-4440,GBP,Receive
SYD241232,29/09/2031,-15000,GBP,Receive
LON343239,30/10/2031,-14490,GBP,Receive
SYD241232,30/10/2031,-11970,GBP,Receive
LON343239,29/11/2031,-27210,GBP,Receive
SYD241232,29/11/2031,-18510,GBP,Receive
LON343239,30/12/2031,-16920,GBP,Receive
SYD241232,30/12/2031,-24900,GBP,Receive
