client_internal,date,price,currency
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/07/2019,178.961,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/07/2019,182.02,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/07/2019,182.735,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/07/2019,182.636,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/07/2019,181.405,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/07/2019,181.616,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/07/2019,181.795,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/07/2019,180.62,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/07/2019,178.414,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/07/2019,178.612,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/07/2019,179.885,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/07/2019,179.006,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/07/2019,181.657,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/07/2019,180.647,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/07/2019,181.13,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/07/2019,181.692,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/07/2019,181.966,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/07/2019,181.658,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/07/2019,179.137,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/07/2019,180.629,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/07/2019,181.509,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/07/2019,181.623,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,31/07/2019,184.657,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/08/2019,185.273,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/08/2019,186.13,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/08/2019,187.815,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/08/2019,187.854,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/08/2019,188.368,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/08/2019,186.903,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/08/2019,186.443,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/08/2019,186.605,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/08/2019,187.481,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/08/2019,190.707,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/08/2019,194.558,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/08/2019,193.474,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/08/2019,193.188,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/08/2019,194.459,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/08/2019,194.593,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/08/2019,193.388,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/08/2019,192.922,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/08/2019,192.922,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/08/2019,194.105,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/08/2019,195.126,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/08/2019,195.759,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/08/2019,192.451,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/09/2019,195.83,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/09/2019,197.49,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/09/2019,189.471,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/09/2019,184.625,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/09/2019,188.496,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/09/2019,186.513,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/09/2019,187.009,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/09/2019,189.207,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/09/2019,187.916,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/09/2019,183.82,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/09/2019,188.065,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/09/2019,186.416,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/09/2019,187.907,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/09/2019,188.438,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/09/2019,187.999,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/09/2019,191.768,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/09/2019,192.844,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/09/2019,192.721,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/09/2019,193.619,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/09/2019,193.343,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/09/2019,192.122,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/10/2019,191.816,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/10/2019,191.353,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/10/2019,192.413,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/10/2019,192.999,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/10/2019,192.211,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/10/2019,191.886,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/10/2019,190.158,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/10/2019,185.827,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/10/2019,182.574,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/10/2019,184.356,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/10/2019,182.552,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/10/2019,181.252,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/10/2019,180.434,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/10/2019,179.514,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/10/2019,176.361,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/10/2019,176.627,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/10/2019,178.749,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/10/2019,180.324,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/10/2019,178.09,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/10/2019,175.229,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/10/2019,172.76,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/10/2019,174.092,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,31/10/2019,178.753,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/11/2019,178.014,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/11/2019,176.671,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/11/2019,174.189,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/11/2019,175.903,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/11/2019,173.615,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/11/2019,174.715,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/11/2019,174.858,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/11/2019,174.889,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/11/2019,175.359,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/11/2019,176.166,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/11/2019,174.23,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/11/2019,173.452,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/11/2019,172.85,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/11/2019,173.472,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/11/2019,173.207,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/11/2019,173.925,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/11/2019,173.915,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/11/2019,174.447,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/11/2019,173.181,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/11/2019,173.492,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/11/2019,176.127,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/12/2019,176.339,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/12/2019,176.64,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/12/2019,172.968,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/12/2019,172.227,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/12/2019,173.289,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/12/2019,174.673,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/12/2019,174.255,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/12/2019,175.694,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/12/2019,174.15,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/12/2019,173.841,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/12/2019,171.121,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/12/2019,174.232,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/12/2019,176.284,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/12/2019,174.478,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/12/2019,174,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/12/2019,174.856,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/12/2019,175.385,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/12/2019,175.385,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/12/2019,175.385,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/12/2019,175.531,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/12/2019,172.085,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,31/12/2019,173.578,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/01/2020,173.578,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/01/2020,176.349,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/01/2020,177.989,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/01/2020,177.255,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/01/2020,176.34,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/01/2020,174.941,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/01/2020,174.139,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/01/2020,175.564,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/01/2020,176.158,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/01/2020,178.303,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/01/2020,180.11,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/01/2020,180.287,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/01/2020,179.969,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/01/2020,178.772,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/01/2020,179.681,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/01/2020,180.173,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/01/2020,182.438,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/01/2020,182.827,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/01/2020,184.009,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/01/2020,181.62,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/01/2020,182.708,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/01/2020,181.357,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,31/01/2020,180.739,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/02/2020,181.645,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/02/2020,179.792,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/02/2020,178.923,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/02/2020,180.754,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/02/2020,181.081,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/02/2020,181.293,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/02/2020,180.791,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/02/2020,180.24,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/02/2020,180.277,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/02/2020,180.304,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/02/2020,180.094,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/02/2020,180.811,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/02/2020,180.948,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/02/2020,182.197,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/02/2020,183.509,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/02/2020,184.557,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/02/2020,185.812,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/02/2020,186.195,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/02/2020,185.973,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/02/2020,183.271,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/03/2020,184.101,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/03/2020,184.191,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/03/2020,183.894,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/03/2020,184.827,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/03/2020,188.912,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/03/2020,189.58,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/03/2020,186.495,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/03/2020,183.691,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/03/2020,185.29,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/03/2020,179.685,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/03/2020,175.503,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/03/2020,169.322,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/03/2020,158.205,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/03/2020,160.182,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/03/2020,168.145,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/03/2020,177.937,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/03/2020,177.639,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/03/2020,176.641,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/03/2020,180.098,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/03/2020,182.95,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/03/2020,182.211,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,31/03/2020,177.069,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/04/2020,179.253,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/04/2020,180.211,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/04/2020,181.531,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/04/2020,181.766,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/04/2020,180.324,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/04/2020,181.899,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/04/2020,184.373,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/04/2020,184.373,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/04/2020,184.373,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/04/2020,183.495,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/04/2020,184.532,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/04/2020,183.639,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/04/2020,182.724,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/04/2020,181.513,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/04/2020,182.086,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/04/2020,181.442,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/04/2020,182.857,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/04/2020,182.919,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/04/2020,181.966,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/04/2020,182.697,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/04/2020,183.307,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/04/2020,184.212,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/05/2020,183.601,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/05/2020,184.349,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/05/2020,185.762,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/05/2020,186.803,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/05/2020,188.116,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/05/2020,188.116,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/05/2020,186.826,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/05/2020,185.532,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/05/2020,186.775,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/05/2020,187.948,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/05/2020,187.551,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/05/2020,187.914,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/05/2020,188.842,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/05/2020,189.373,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/05/2020,190.945,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/05/2020,189.72,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/05/2020,189.72,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/05/2020,188.668,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/05/2020,190.477,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/05/2020,191.146,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/05/2020,192.37,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/06/2020,191.795,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/06/2020,191.508,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/06/2020,190.303,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/06/2020,188.571,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/06/2020,187.144,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/06/2020,187.185,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/06/2020,188.715,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/06/2020,190.457,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/06/2020,191.609,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/06/2020,190.517,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/06/2020,191.387,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/06/2020,192.215,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/06/2020,194.413,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/06/2020,191.141,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/06/2020,190.063,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/06/2020,192.156,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/06/2020,191.984,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/06/2020,192.888,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/06/2020,193.399,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/06/2020,191.957,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/06/2020,193.582,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/06/2020,192.972,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/07/2020,193.354,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/07/2020,194.428,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/07/2020,194.332,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/07/2020,194.799,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/07/2020,193.892,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/07/2020,192.416,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/07/2020,190.549,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/07/2020,189.238,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/07/2020,190.37,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/07/2020,192.489,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/07/2020,191.605,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/07/2020,190.526,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/07/2020,188.313,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/07/2020,188.839,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/07/2020,189.905,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/07/2020,191.159,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/07/2020,191.212,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/07/2020,192.236,GBP
