Date,Rate,Pair
14/04/2021,1.198,EUR/USD
15/04/2021,1.1967,EUR/USD
16/04/2021,1.1983,EUR/USD
19/04/2021,1.2037,EUR/USD
20/04/2021,1.2036,EUR/USD
21/04/2021,1.2035,EUR/USD
22/04/2021,1.2015,EUR/USD
23/04/2021,1.2097,EUR/USD
26/04/2021,1.2086,EUR/USD
27/04/2021,1.2091,EUR/USD
28/04/2021,1.2126,EUR/USD
29/04/2021,1.2121,EUR/USD
30/04/2021,1.202,EUR/USD
03/05/2021,1.2064,EUR/USD
04/05/2021,1.2014,EUR/USD
05/05/2021,1.2005,EUR/USD
06/05/2021,1.2065,EUR/USD
07/05/2021,1.2166,EUR/USD
10/05/2021,1.2129,EUR/USD
11/05/2021,1.2148,EUR/USD
12/05/2021,1.2072,EUR/USD
13/05/2021,1.2081,EUR/USD
14/05/2021,1.2141,EUR/USD
17/05/2021,1.2152,EUR/USD
18/05/2021,1.2222,EUR/USD
19/05/2021,1.2175,EUR/USD
20/05/2021,1.2228,EUR/USD
21/05/2021,1.2182,EUR/USD
24/05/2021,1.2216,EUR/USD
25/05/2021,1.225,EUR/USD
26/05/2021,1.2192,EUR/USD
27/05/2021,1.2195,EUR/USD
28/05/2021,1.2192,EUR/USD
31/05/2021,1.2227,EUR/USD
01/06/2021,1.2213,EUR/USD
02/06/2021,1.2211,EUR/USD
03/06/2021,1.2127,EUR/USD
04/06/2021,1.2167,EUR/USD
07/06/2021,1.219,EUR/USD
08/06/2021,1.2173,EUR/USD
09/06/2021,1.218,EUR/USD
10/06/2021,1.217,EUR/USD
11/06/2021,1.2109,EUR/USD
14/06/2021,1.212,EUR/USD
15/06/2021,1.2126,EUR/USD
16/06/2021,1.1995,EUR/USD
17/06/2021,1.1907,EUR/USD
18/06/2021,1.1864,EUR/USD
21/06/2021,1.1919,EUR/USD
22/06/2021,1.194,EUR/USD
23/06/2021,1.1926,EUR/USD
24/06/2021,1.1932,EUR/USD
25/06/2021,1.1935,EUR/USD
28/06/2021,1.1925,EUR/USD
29/06/2021,1.1897,EUR/USD
30/06/2021,1.1858,EUR/USD
01/07/2021,1.185,EUR/USD
02/07/2021,1.1865,EUR/USD
05/07/2021,1.1864,EUR/USD
06/07/2021,1.1824,EUR/USD
07/07/2021,1.179,EUR/USD
08/07/2021,1.1845,EUR/USD
09/07/2021,1.1876,EUR/USD
12/07/2021,1.1861,EUR/USD
13/07/2021,1.1776,EUR/USD
14/07/2021,1.1837,EUR/USD
15/07/2021,1.1812,EUR/USD
16/07/2021,1.1806,EUR/USD
19/07/2021,1.18,EUR/USD
20/07/2021,1.1781,EUR/USD
21/07/2021,1.1794,EUR/USD
22/07/2021,1.1771,EUR/USD
23/07/2021,1.1771,EUR/USD
26/07/2021,1.1803,EUR/USD
27/07/2021,1.1817,EUR/USD
28/07/2021,1.1845,EUR/USD
29/07/2021,1.1887,EUR/USD
30/07/2021,1.187,EUR/USD
02/08/2021,1.187,EUR/USD
03/08/2021,1.1864,EUR/USD
04/08/2021,1.1837,EUR/USD
05/08/2021,1.1834,EUR/USD
06/08/2021,1.1762,EUR/USD
09/08/2021,1.1737,EUR/USD
10/08/2021,1.172,EUR/USD
11/08/2021,1.1739,EUR/USD
12/08/2021,1.173,EUR/USD
13/08/2021,1.1797,EUR/USD
16/08/2021,1.1778,EUR/USD
17/08/2021,1.171,EUR/USD
18/08/2021,1.1711,EUR/USD
19/08/2021,1.1675,EUR/USD
20/08/2021,1.1698,EUR/USD
23/08/2021,1.1745,EUR/USD
24/08/2021,1.1756,EUR/USD
25/08/2021,1.1772,EUR/USD
26/08/2021,1.1752,EUR/USD
27/08/2021,1.1795,EUR/USD
30/08/2021,1.1797,EUR/USD
31/08/2021,1.1809,EUR/USD
01/09/2021,1.1839,EUR/USD
02/09/2021,1.1875,EUR/USD
03/09/2021,1.188,EUR/USD
06/09/2021,1.187,EUR/USD
07/09/2021,1.184,EUR/USD
08/09/2021,1.1816,EUR/USD
09/09/2021,1.1825,EUR/USD
10/09/2021,1.1814,EUR/USD
13/09/2021,1.1811,EUR/USD
14/09/2021,1.1803,EUR/USD
15/09/2021,1.1817,EUR/USD
16/09/2021,1.1767,EUR/USD
17/09/2021,1.1725,EUR/USD
20/09/2021,1.1726,EUR/USD
21/09/2021,1.1726,EUR/USD
22/09/2021,1.1687,EUR/USD
23/09/2021,1.1739,EUR/USD
24/09/2021,1.172,EUR/USD
27/09/2021,1.1695,EUR/USD
28/09/2021,1.1683,EUR/USD
29/09/2021,1.1598,EUR/USD
30/09/2021,1.158,EUR/USD
01/10/2021,1.1596,EUR/USD
04/10/2021,1.1621,EUR/USD
05/10/2021,1.1598,EUR/USD
06/10/2021,1.1556,EUR/USD
07/10/2021,1.1552,EUR/USD
08/10/2021,1.1569,EUR/USD
11/10/2021,1.1552,EUR/USD
12/10/2021,1.153,EUR/USD
13/10/2021,1.1594,EUR/USD
14/10/2021,1.1597,EUR/USD
15/10/2021,1.1601,EUR/USD
18/10/2021,1.161,EUR/USD
19/10/2021,1.1633,EUR/USD
20/10/2021,1.1651,EUR/USD
21/10/2021,1.1623,EUR/USD
22/10/2021,1.1643,EUR/USD
25/10/2021,1.1608,EUR/USD
26/10/2021,1.1596,EUR/USD
27/10/2021,1.1603,EUR/USD
28/10/2021,1.1681,EUR/USD
29/10/2021,1.1558,EUR/USD
01/11/2021,1.1606,EUR/USD
02/11/2021,1.1579,EUR/USD
03/11/2021,1.1612,EUR/USD
04/11/2021,1.1554,EUR/USD
05/11/2021,1.1567,EUR/USD
08/11/2021,1.1587,EUR/USD
09/11/2021,1.159,EUR/USD
