Name,Custom Legal Entity Identifier ,Legal Entity Identifier,Total DEI Score,Total Gender Score
LEGAL & GENERAL GROUP PLC,1019637,213800JH9QQWHLO99821,38.83,32.08
LLOYDS BANKING GROUP PLC,1415850,549300PPXHEU2JF0AM85,35.65,38.91
LONDON STOCK EXCHANGE GROUP PLC,286760,213800QAUUUP6I445N30,42.95,57.07
M&G PLC,399504,254900TWUJUQ44TQJY84,44.09,37.39
MELROSE INDUSTRIES PLC,1261789,213800RGNXXZY2M7TR85,34.97,19.06
MONDI PLC,269988,213800LOZA69QFDC9N34,41.42,50.69
NATIONAL GRID PLC,113966,8R95QZMKZLJX5Q2XR704,42.23,41.16
NATWEST GROUP PLC,417406,2138005O9XJIJN4JPN90,40.35,37.57
NEXT PLC,1196655,213800WQD8ECPZP9PH98,41.03,48.81
OCADO GROUP PLC,269223,213800LO8F61YB8MBC74,31.46,9.59
PEARSON PLC,1089313,2138004JBXWWJKIURC57,50.13,69.2
PERSIMMON PUBLIC LIMITED COMPANY,515119,213800XI72Y57UWN6F31,25.03,23.85
Prudential Public Limited Company,1485865,5493001Z3ZE83NGK8Y12,28.38,32.77
RECKITT BENCKISER GROUP PLC,367937,5493003JFSMOJG48V108,34.52,37.22
RELX PLC,1629028,549300WSX3VBUFFJOO66,37.34,51.31
RENTOKIL INITIAL PLC,454000,549300VN4WV7Z6T14K68,33.14,29.37
Rio Tinto Group,519217,213800YOEO5OQ72G2R82,41.56,39.49
ROLLS-ROYCE HOLDINGS PLC,1548627,213800EC7997ZBLZJH69,36.77,38.81
SCHRODERS PLC,162470,2138001YYBULX5SZ2H24,44.25,57.93
SEGRO PUBLIC LIMITED COMPANY,769052,213800XC35KGM9NFC641,35.18,19.06
SEVERN TRENT PLC,122294,213800RPBXRETY4A4C59,45.62,50.6
SMITH & NEPHEW PLC,1447521,213800ZTMDN8S67S1H61,34.07,34.88
SMITHS GROUP PLC,1407942,213800MJL6IPZS3ASA11,38.3,28.03
Smurfit Kappa Group Public Limited Company,1632051,635400CPLP8H5ITDVT56,35.17,32.66
SPIRAX-SARCO ENGINEERING PLC,1421561,213800WFVZQMHOZP2W17,31.63,27.43
SSE PLC,1329545,549300KI75VYLLMSK856,41.98,39.55
ST. JAMES'S PLACE PLC,777708,213800M993ICXOMBCP87,41.01,26.46
STANDARD CHARTERED PLC,1347498,U4LOSYZ7YG4W3S5F2G91,40,39.39
STANDARD LIFE ABERDEEN PLC,608211,0TMBS544NMO7GLCE7H90,41.4,50.15
TAYLOR WIMPEY PLC,1322707,21380089BTRXTD8S3R66,47.15,47.96
TESCO PLC,865788,2138002P5RNKC5W2JZ46,42.78,48.05
THE BERKELEY GROUP HOLDINGS PLC,1552650,2138009OQSSLVVHQAL78,33.61,28.26
THE SAGE GROUP PLC.,411590,2138005RN5XYLTF8G138,43.17,33.79
UNILEVER PLC,916465,549300MKFYEKVRWML317,45.04,47.38
UNITED UTILITIES GROUP PLC,363108,2138002IEYQAOC88ZJ59,33.73,42.97
WHITBREAD PLC,860565,21380099VMZKRMN3EX36,40.59,28.84
3I GROUP PLC,1826306,35GDVHRBMFE7NWATNM84,31.64,33.23
AVAST PLC,269800,213800IR8G8LCZH4BO27,34.25,31.16
FRESNILLO PLC,1089816,549300JXWH1UV5J0XV81,25.52,21.79
ITV PLC,1343395,ZLECI7ED2QMWFGYCXZ59,45.25,56.25
JD SPORTS FASHION PLC,759022,213800HROV6Y9MUU8375,46.35,42.98
MEGGITT PLC,1342231,YMFO3TKB4UAWQTDZJJ31,40.56,33.23
RIGHTMOVE PLC,1563933,2138001JXGCFKBXYB828,45.16,43.99
ROYAL DUTCH SHELL PLC,875744,21380068P1DRHMJ8KU70,47.28,50.62
VODAFONE GROUP PUBLIC LIMITED COMPANY,1418022,213800TB53ELEUKM7Q61,48.98,57.68
WM MORRISON SUPERMARKETS P L C,321879,213800IN6LSRGTZSOS29,28.81,23.88
