EffectiveAt	Provider	InstrumentID	InstrumentType	QuoteType	Field	Value	Unit	Lineage	CutLabel	UploadedBy	AsAt
2020-02-04	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17995	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.684497+00:00
2020-02-03	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17494	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.272599+00:00
2020-02-02	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1901	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.400709+00:00
2020-02-01	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1901	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.400709+00:00
2020-01-31	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1901	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.272599+00:00
2020-01-30	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18669	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.272599+00:00
2020-01-29	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18254	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.272599+00:00
2020-01-28	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18195	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.272599+00:00
2020-01-27	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18485	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.272599+00:00
2020-01-26	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18597	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.400709+00:00
2020-01-25	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18597	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.400709+00:00
2020-01-24	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18597	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.272599+00:00
2020-01-23	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18718	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.671872+00:00
2020-01-22	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18413	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.671872+00:00
2020-01-21	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1775	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.671872+00:00
2020-01-20	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17257	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.671872+00:00
2020-01-19	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17349	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.400709+00:00
2020-01-18	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17349	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.400709+00:00
2020-01-17	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17349	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.671872+00:00
2020-01-16	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17432	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.671872+00:00
2020-01-15	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.16943	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.671872+00:00
2020-01-14	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.16995	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.463857+00:00
2020-01-13	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.16655	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.463857+00:00
2020-01-12	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17456	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
2020-01-11	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17456	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
2020-01-10	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17456	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.463857+00:00
2020-01-09	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17674	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.463857+00:00
2020-01-08	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17927	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.463857+00:00
2020-01-07	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17675	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.463857+00:00
2020-01-06	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17605	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.463857+00:00
2020-01-05	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17182	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
2020-01-04	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17182	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
2020-01-03	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17182	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:53.875864+00:00
2020-01-02	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17642	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:53.875864+00:00
2020-01-01	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17879	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:53.875864+00:00
2019-12-31	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18226	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:53.875864+00:00
2019-12-30	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17087	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:53.875864+00:00
2019-12-29	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17049	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
2019-12-28	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17049	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
2019-12-27	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17049	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:53.875864+00:00
