DisplayName,DeiIdNumber,Figi,TotalDeiScore,BoardDeiScore,ExecutiveDeiScore,GenderDeiScore,PctDistributionOfCaucasianExecutives
"AUTODESK, INC,",1555053,US0527691069,59.3,61.78,60.25,80.23,0.9167
"Automatic Data Processing, Inc,",1550827,US0530151036,47.73,40,26.59,54.7,0.8333
"AutoZone, Inc,",1548597,US0533321024,38.21,44.49,34.68,38.96,0.7333
"AvalonBay Communities, Inc,",1100950,US0534841012,41.11,41.49,17.1,30.23,1
AVERY DENNISON CORPORATION,206683,US0536111091,43.32,35.53,26.84,37.14,0.75
BALL CORPORATION,877375,US0584981064,52.54,57.89,32.68,39.82,0.9167
BANK OF AMERICA CORPORATION,1100856,US0605051046,57.71,51.29,46.26,63.68,0.7857
"BAXTER INTERNATIONAL INC,",1555136,US0718131099,57.97,49.7,45.92,62.4,0.8636
"BERKSHIRE HATHAWAY INC,",560897,US0846707026,31.61,28.6,15.16,12,0.8
"Best Buy Co,, Inc,",1538555,US0865161014,54.79,64.42,42.51,49.99,0.8421
"BIOGEN INC,",1329168,US09062X1037,60.23,42.5,64.64,64.99,0.7333
"BLACKROCK, INC,",638553,US09247X1019,52.89,53.18,31.96,46.29,0.8261
"BOOKING HOLDINGS INC,",1548302,US09857L1089,45.54,53.59,32.5,45.62,0.875
"BorgWarner Inc,",1389730,US0997241064,51.18,47.5,48.24,43.88,0.8
"BOSTON PROPERTIES, INC,",638411,US1011211018,42.7,44.73,33,35.82,1
BOSTON SCIENTIFIC CORPORATION,1103035,US1011371077,48.3,48.34,27.67,37.83,1
BRISTOL-MYERS SQUIBB COMPANY,1540001,US1101221083,58.13,58.49,62.53,74.23,0.5
"Broadcom Inc,",1635040,US11135F1012,50.54,52.05,37.3,36.91,0.7097
"Broadridge Financial Solutions Inc,",1741946,US11133T1034,52.89,36.05,26.52,25.4,0.7097
BROWN-FORMAN CORPORATION,1339371,US1156372096,47.03,48.27,33.2,38.73,0.7
"C,H, Robinson Worldwide, Inc,",53955,US12541W2098,41.81,43.53,33.67,38.19,1
CABOT OIL & GAS CORPORATION,1546033,US1270971039,34.8,36.67,30,44.34,0.9091
"CADENCE DESIGN SYSTEMS, INC,",1548512,US1273871087,46.39,45.41,34.8,36.04,0.5455
CAMPBELL SOUP COMPANY,1090165,US1344291091,49.82,49.17,41.2,43.45,0.9
CAPITAL ONE FINANCIAL CORPORATION,1346598,US14040H1059,49.84,43.11,20.1,36.22,1
"CARDINAL HEALTH, INC,",1541868,US14149Y1082,55.98,50.83,56.29,67.25,0.875
"CARMAX, INC,",496704,US1431301027,40.87,42.43,27.39,28.13,0.875
"CARNIVAL CORPORATION,",1545302,PA1436583006,42.21,34.1,25.5,23.53,0.9231
CARRIER GLOBAL CORPORATION,860319,US14448C1045,43.88,25.55,41.92,38.58,0.7143
"CATERPILLAR INC,",1325766,US1491231015,56.93,44.17,48,56.79,0.9375
"Cboe Global Markets, Inc,",1143787,US12503M1080,42.4,43.16,45.23,42.32,1
"CBRE Group, Inc,",1120737,US12504L1098,53.23,47.4,47.03,50.2,0.8
CELANESE CORPORATION,1389364,US1508701034,58.3,57.89,55.81,67.4,0.8889
CENTENE CORPORATION,1190345,US15135B1017,48.4,38.64,36.46,38.88,0.85
"CENTURYLINK, INC,",131447,US5502411037,40.74,38.1,26.41,40.49,0.9167
Cerner Corporation,394262,US1567821046,54.01,37.78,64.67,52.4,0.9231
"CF Industries Holdings, Inc,",504448,US1252691001,38.45,27.5,32.62,40.78,0.8571
"Charter Communications, Inc,",875216,US16119P1084,34.36,0,27.5,24.85,0.9286
"Chipotle Mexican Grill Inc,",1741982,US1696561059,48.88,44.3,50.49,47.05,0.7778
Chubb Limited,1578144,CH0044328745,40.33,44.09,35.14,24.83,0.878
"CHURCH & DWIGHT CO,, INC,",1328947,US1713401024,46.67,46.77,32.56,55.58,1
CIGNA CORPORATION,1400068,US1255231003,54.8,41.6,47.84,51.28,0.7857
Cincinnati Financial Corporation,1669056,US1720621010,45.64,36.96,34.1,44.09,1
"CITIGROUP INC,",594305,US1729674242,59.23,56.09,48.9,69.71,0.6667
"CITIZENS FINANCIAL GROUP, INC,",1087724,US1746101054,53.22,40.96,42.07,50.26,1
"CITRIX SYSTEMS, INC,",1550799,US1773761002,42.55,31.03,31.99,27.25,0.8889
"CME GROUP INC,",1347400,US12572Q1058,52.63,41.6,55.89,60.23,1
CMS ENERGY CORPORATION,1074226,US1258961002,54.71,52.19,56.94,60.38,0.7778
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,1355068,US1924461023,50.32,50.66,33.76,42.93,0.5833
COLGATE-PALMOLIVE COMPANY,1342737,US1941621039,56.7,54.74,46.38,62.87,0.7778
COMCAST CORPORATION,485219,US20030N1019,46.96,33,41.17,56.93,0.8636
"ConAgra Brands, Inc,",1516985,US2058871029,48.32,43.13,40,61.03,1
CONOCOPHILLIPS,1325960,US20825C1045,51.09,43,39.35,44.27,1
"CONSOLIDATED EDISON, INC,",1278968,US2091151041,57.19,50.88,60.11,57.74,0.6667
"CONSTELLATION BRANDS, INC,",151422,US21036P1084,38.43,48.83,28.62,40.4,0.8182
"Copart, Inc,",410418,US2172041061,26.25,25.81,24.33,19.66,0.8125
CORNING INCORPORATED,937998,US2193501051,47,46.92,25.52,27.03,0.7895
"Corteva, Inc,",222065,US22052L1044,41.78,47.12,30.25,38.94,0.875
COSTCO WHOLESALE CORPORATION,1524621,US22160K1051,40.45,44.28,22.62,34.12,0.9286
"CROWN CASTLE INTERNATIONAL CORP,",801652,US22822V1017,40.65,42.18,32.15,50.19,0.8571
CSX Corporation,596891,US1264081035,40.09,30,10,27.98,0.9091
"CUMMINS INC,",1346752,US2310211063,56.86,46.17,51.68,64.15,0.8947
CVS HEALTH CORPORATION,1372939,US1266501006,49.04,47.12,38.74,48.69,0.9231
Danaher Corporation,683432,US2358511028,38.26,38.75,29.34,32.56,0.9
"DARDEN RESTAURANTS, INC,",1334926,US2371941053,44.13,34.9,27.26,38.81,1
"DAVITA INC,",1344620,US23918K1088,55.22,57.89,40.57,55.38,0.9091
DEERE & COMPANY,1324904,US2441991054,49.06,49.53,35.17,29.92,0.7778
"Delta Air Lines, Inc,",1330551,US2473617023,49.4,34.65,32.4,39.98,0.8571
"DENTSPLY SIRONA INC,",1571802,US24906P1093,50.48,45.84,42.26,47.38,0.7778
DEVON ENERGY CORPORATION,437919,US25179M1036,34.98,30,18.33,35.91,1
"DEXCOM, INC,",1430897,US2521311074,39.91,43.35,34.83,39.12,0.8333
"DIAMONDBACK ENERGY, INC,",202747,US25278X1090,43.44,43,34.35,41.99,1
"DIGITAL REALTY TRUST, INC,",582559,US2538681030,31.65,42.15,7.86,26.61,1
DISCOVER FINANCIAL SERVICES,1353733,US2547091080,54.79,48.94,33.19,57.69,0.8667
DISH NETWORK CORPORATION,93234,US25470M1099,28.14,27.45,13.5,14.33,0.9
"DocuSign, Inc,",77439,US2561631068,56.75,46.6,63.19,59.59,0.7778
"DOLLAR TREE, INC,",1135105,US2567461080,38.39,33.48,25.42,28.54,1
"Dominion Energy, Inc,",1536782,US25746U1097,45.5,30.71,48.34,52.88,0.8571
DOVER CORPORATION,1370426,US2600031080,39.33,24.51,22.55,37.79,0.8182
"DOW INC,",1679186,US2605571031,52.59,46.81,48.56,47.78,0.7857
DUKE ENERGY CORPORATION,1538899,US26441C2044,47.02,43.97,36.21,42.82,0.8421
"DUPONT DE NEMOURS, INC,",1678364,US26614N1028,51.67,48.06,36.8,40.15,0.8182
EASTMAN CHEMICAL COMPANY,1546248,US2774321002,46.43,44.1,36.71,32,0.75
EATON CORPORATION PLC,1148580,IE00B8KQN827,59.51,49.97,43.37,53.14,0.6522
"EBAY INC,",1090034,US2786421030,49.19,54.2,41.6,50.03,1
EDISON INTERNATIONAL,1091211,US2810201077,57.83,53.6,59.27,67.48,0.7857
EDWARDS LIFESCIENCES CORPORATION,1103736,US28176E1082,49.98,52.5,30.92,41.28,0.9333
"ELECTRONIC ARTS INC,",379441,US2855121099,46.18,40.28,47.65,40.46,0.75
ELI LILLY AND COMPANY,1546984,US5324571083,58.98,43.42,47.41,63.26,0.6875
"EMERSON ELECTRIC CO,",1546381,US2910111044,56.26,41,49.74,53.21,0.6667
ENTERGY CORPORATION,685638,US29364G1031,45.21,40,35.32,53.96,0.8
"EOG RESOURCES, INC,",1098039,US26875P1012,42.41,37.88,32.68,34.98,1
"EQUIFAX INC,",153551,US2944291051,56.23,44.28,54.38,58.58,0.7857
"EQUINIX, INC,",1161265,US29444U7000,53.77,45.6,40.05,44.9,0.8182
EQUITY RESIDENTIAL,1349227,US29476L1070,43.76,48.16,31.6,42.23,1
"ESSEX PROPERTY TRUST, INC,",1636534,US2971781057,56.93,46.02,68.06,75.83,0.75
"EVEREST RE GROUP, LTD,",885634,BMG3223R1088,43.94,31.88,43.55,44.66,1
"Evergy, Inc,",1622532,US30034W1062,50.7,44.07,38.96,39.55,0.75
EVERSOURCE ENERGY,1340873,US30040W1080,39.46,34.19,22.1,24.25,1
EXELON CORPORATION,105623,US30161N1019,50.75,48.42,45.42,48.21,0.8235
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC,",619229,US3021301094,35.65,38.86,35.64,32.17,0.8261
EXTRA SPACE STORAGE,332173,US30225T1025,42.66,37.86,34.8,37.16,0.8571
EXXON MOBIL CORPORATION,1554836,US30231G1022,52.84,52.03,41,54.83,1
Fastenal Company,928075,US3119001044,40.95,31,31.6,31.25,1
FEDEX CORPORATION,1131533,US31428X1063,48.84,48.57,39.54,50.08,0.9231
"FIDELITY NATIONAL INFORMATION SERVICES, INC,",624576,US31620M1062,47.39,43.2,39,36.67,0.9333
Fifth Third Bancorp,1348847,US3167731005,55.9,48.27,42.21,55.58,0.9286
First Republic Bank,1353564,US33616C1009,45.7,43.53,32.68,46.99,1
"FIRSTENERGY CORP,",1147372,US3379321074,51.08,35.39,46.88,37.5,0.8
"FISERV, INC,",1549092,US3377381088,36.84,40.74,24.2,28.5,0.9
"FLEETCOR TECHNOLOGIES, INC,",938057,US3390411052,34.4,29.78,19.33,27.12,0.9167
FMC CORPORATION,1540736,US3024913036,49.03,35.55,49.17,47.72,1
FORD MOTOR COMPANY,871840,US3453708600,51.06,38.53,36.26,39.94,0.7692
"Fortinet, Inc",1182847,US34959E1091,39.57,38.03,37.8,31.84,0.8182
FORTIVE CORPORATION,423928,US34959J1088,46.83,46.76,42.21,42.38,0.9286
"FORTUNE BRANDS HOME & SECURITY, INC,",1268568,US34964C1062,43.16,36.43,36.25,37.73,0.9
"FRANKLIN RESOURCES, INC,",1355611,US3546131018,50.65,47.18,31.88,52.95,1
"FREEPORT-MCMORAN INC,",1075877,US35671D8570,43.85,48.44,31.53,37.59,1
"Garmin Ltd,",1216220,CH0114405324,43.85,43.73,25.74,24,0.75
"GARTNER, INC,",1329656,US3666511072,47.69,40.88,40.25,48.1,1
GENERAL DYNAMICS CORPORATION,1100845,US3695501086,46.33,43.42,32.9,32.81,0.96
GENERAL ELECTRIC COMPANY,86432,US3696043013,51.94,51.34,39.3,51.96,0.9048
"General Mills, Inc,",1556487,US3703341046,57.34,55.83,44,65.96,0.8462
GENERAL MOTORS COMPANY,1333967,US37045V1008,55.71,59.45,32.12,49.67,0.8824
GENUINE PARTS COMPANY,1606762,US3724601055,43.16,40.77,23.99,30.86,0.8571
"GILEAD SCIENCES, INC,",1615992,US3755581036,58.6,50.59,66.71,68.58,0.75
"GLOBAL PAYMENTS INC,",662746,US37940X1028,47.88,40,25.86,22.78,0.8889
"GLOBE LIFE INC,",1516681,US37959E1029,35.12,44.87,27.43,42.09,1
HALLIBURTON COMPANY,1576151,US4062161017,41.98,40.15,32.61,33.33,0.8889
"Hasbro, Inc,",903890,US4180561072,56.29,57.96,37.6,62.45,1
"HCA Healthcare Inc,",1173412,US40412C1018,39.42,30,32.35,46.05,1
"Healthpeak Properties, Inc,",1329780,US42250P1030,57.02,56.39,49.23,56.4,0.9545
"HENRY SCHEIN, INC,",1324742,US8064071025,39.48,46.48,25.58,25.64,0.9333
HESS CORPORATION,1350136,US42809H1077,44.07,36.15,28.24,26.56,1
HEWLETT PACKARD ENTERPRISE COMPANY,93514,US42824C1099,49.32,53.27,28.57,42.33,0.8125
"HILTON WORLDWIDE HOLDINGS INC,",82272,US43300A2033,51.05,51.53,36.25,53.93,1
"HOLOGIC, INC,",1640439,US4364401012,51.59,44.25,36.78,42.5,0.8571
"HONEYWELL INTERNATIONAL INC,",1554260,US4385161066,41.5,31.27,22.45,18.85,0.7857
HORMEL FOODS CORPORATION,1090859,US4404521001,43.85,49.17,35.14,42.35,0.9524
"Host Hotels & Resorts, Inc",1094850,US44107P1049,48.85,40.11,37.68,50.66,0.8571
"HOWMET AEROSPACE INC,",48406,US4432011082,47.05,50.69,28.25,38.44,0.9
"HP INC,",1328261,US40434L1052,58.97,62.23,44.39,58.02,0.6923
"Humana Inc,",289780,US4448591028,46.83,42.47,40.1,47.74,0.8462
HUNTINGTON BANCSHARES INCORPORATED,1198615,US4461501045,58.23,50.97,50.39,65,0.875
"HUNTINGTON INGALLS INDUSTRIES, INC,",364924,US4464131063,41.04,41.11,31.27,34.15,0.9231
IDEX Corporation,1183239,US45167R1041,52.16,42.07,44.52,45.08,0.8182
"IDEXX LABORATORIES, INC,",1093350,US45168D1046,52.2,45.78,41.55,48.49,0.9524
"IHS Markit Ltd,",591902,BMG475671050,47.5,46.92,40.81,49.28,0.9231
"ILLINOIS TOOL WORKS INC,",1070972,US4523081093,49.36,39.34,51.34,43.58,0.8182
"Illumina, Inc,",1350080,US4523271090,58.48,42.2,60.88,64.72,0.7692
INCYTE CORPORATION,1184496,US45337C1027,40.79,44.46,42.35,39.42,0.8462
"INGERSOLL RAND INC,",897893,US45687V1061,48.69,36.28,36.69,36.36,0.9048
INTEL CORPORATION,1106521,US4581401001,58.66,54.2,49.56,53.75,0.75
"INTERCONTINENTAL EXCHANGE, INC,",281254,US45866F1049,57.25,56.57,42.28,59.49,0.8636
INTERNATIONAL BUSINESS MACHINES CORPORATION,1326090,US4592001014,51.87,40.14,41.7,42.38,0.92
"INTERNATIONAL FLAVORS & FRAGRANCES INC,",1543418,US4595061015,46.95,44.64,41.67,51.69,0.8667
INTERNATIONAL PAPER COMPANY,1249438,US4601461035,44.52,43.93,26.62,31.34,1
"INTUIT INC,",1325343,US4612021034,53.85,48.84,56.61,67.39,0.9091
"INTUITIVE SURGICAL, INC,",599384,US46120E6023,47.15,43,29.33,47.83,1
"INVESCO LTD,",1577343,BMG491BT1088,51.65,42.07,41.92,51.38,1
IPG Photonics Corporation,1273052,US44980X1090,47.27,49.17,22.5,31.73,1
IQVIA HOLDINGS INC,1389917,US46266C1053,45.7,38.03,40.25,52.01,1
IRON MOUNTAIN INCORPORATED,1350419,US46284V1017,50.54,42.62,37.81,48.79,0.9231
"J, B, Hunt Transport Services, Inc,",1157206,US4456581077,47.77,36.65,29.38,29.67,0.6667
"Jack Henry & Associates, Inc,",800838,US4262811015,40.07,37.77,0,20,1
"JACOBS ENGINEERING GROUP INC,",1140893,US4698141078,53.44,48.19,57.46,57.03,0.75
JOHNSON & JOHNSON,412794,US4781601046,63.03,48.57,48.35,63.26,0.8333
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,671013,IE00BY7QL619,50.56,36.47,28.92,21.36,0.9091
"JPMORGAN CHASE & CO,",131452,US46625H1005,60.16,51.53,51.36,69.6,0.9444
"JUNIPER NETWORKS, INC,",1569305,US48203R1041,49.72,53.59,37.09,44.43,0.5789
KANSAS CITY SOUTHERN,1086490,US4851703029,44.65,43.5,31,33.05,1
KEYCORP,1352824,US4932671088,47.83,42.93,37.81,47.73,1
"KEYSIGHT TECHNOLOGIES, INC,",335376,US49338L1035,47.98,46.77,44.48,50.63,0.6667
KIMBERLY-CLARK CORPORATION,1097453,US4943681035,48.26,53.3,44.89,48.47,0.8462
"KINDER MORGAN, INC,",188436,US49456B1017,40.24,30.77,30.63,26.58,0.9474
KLA CORPORATION,1694146,US4824801009,45.49,47.32,32.56,35.17,0.7778
"L BRANDS, INC,",1549584,US0708301041,52.33,66.23,57.59,61.15,0.8
"L3HARRIS TECHNOLOGIES, INC,",1414324,US5024311095,44.75,36.15,30.25,24.91,0.9375
LAM RESEARCH CORPORATION,843245,US5128071082,48.04,56.59,40.37,59.02,0.8571
"Las Vegas Sands Corp,",1634961,US5178341070,46.92,50.49,21.6,34.63,1
"LEIDOS HOLDINGS, INC,",1333299,US5253271028,45.68,41.68,37.39,37.35,0.9286
LENNAR CORPORATION,257552,US5260571048,29.53,37.5,27.45,30.36,1
LINCOLN NATIONAL CORPORATION,1576165,US5341871094,54.42,47.75,50.39,60.81,0.875
"LIVE NATION ENTERTAINMENT, INC,",849544,US5380341090,61,48.24,56.57,48,1
LKQ CORPORATION,1331942,US5018892084,40.47,42.5,33.94,25.93,1
LOCKHEED MARTIN CORPORATION,1331484,US5398301094,48.52,43.97,36.11,35.38,0.7778
"Lowe's Companies, Inc,",1331123,US5486611073,48.42,51.97,40.54,49.28,0.7097
"LULULEMON ATHLETICA INC,",1613016,US5500211090,55.16,63.62,53.75,56.83,0.8889
"LyondellBasell Industries N,V,",1545199,NL0009434992,46.81,48.01,36.56,27.52,0.9231
M&T BANK CORPORATION,210938,US55261F1049,49.48,40.83,38.71,49.27,1
MARATHON PETROLEUM CORPORATION,81065,US56585A1025,46.94,34.43,46.92,39.11,1
"MARKETAXESS HOLDINGS INC,",184996,US57060D1081,45.62,41.72,38.71,42.49,0.9231
"MARRIOTT INTERNATIONAL, INC,",1647741,US5719032022,52.25,51.44,50.81,69.48,0.8421
"MARSH & MCLENNAN COMPANIES, INC,",950465,US5717481023,48.02,42.35,38.5,35.37,1
"Martin Marietta Materials, Inc,",20248,US5732841060,37.64,34,22.31,26.36,1
MASCO CORPORATION,308420,US5745991068,40.65,37.65,30.25,37.68,0.875
MASTERCARD INCORPORATED,1568777,US57636Q1040,52.71,39.33,42.36,49.75,0.6765
"MCCORMICK & COMPANY, INCORPORATED",1312752,US5797802064,51.27,41.11,37.14,38,0.8571
MCDONALD'S CORPORATION,1351041,US5801351017,54.44,40.1,49.72,58.97,0.9286
MCKESSON CORPORATION,205992,US58155Q1031,51.56,42.96,61.6,61.59,1
MEDTRONIC PUBLIC LIMITED COMPANY,1696337,IE00BTN1Y115,50.45,45.33,25.7,51.25,0.8125
"MERCADOLIBRE, INC,",902860,US58733R1023,36.36,32.99,22.17,19.62,0.2222
"Meta Platforms, Inc,",1544792,US30303M1027,60.97,57.84,53,63.33,0.913
"MetLife, Inc,",1540721,US59156R1086,53.64,47.45,48.24,51.5,0.8
"METTLER-TOLEDO INTERNATIONAL INC,",558640,US5926881054,37.88,27.5,33.5,39.45,1
MGM RESORTS INTERNATIONAL,589085,US5529531015,54.34,45.68,27.8,31.82,0.7143
MICROCHIP TECHNOLOGY INCORPORATED,1542677,US5950171042,39.33,45.43,15.43,20,0.6667
"MICRON TECHNOLOGY, INC,",1568771,US5951121038,53.41,51.6,31.43,41.23,0.625
MICROSOFT CORPORATION,1537060,US5949181045,55.45,55.7,46.92,56.38,0.7143
"MID-AMERICA APARTMENT COMMUNITIES, INC,",1630769,US59522J1034,46.58,30.22,43.2,40.1,1
"MOHAWK INDUSTRIES, INC,",1092847,US6081901042,33.8,24.1,16.24,12.75,0.8333
MOLSON COORS BEVERAGE COMPANY,1341396,US60871R2094,47.75,37.39,34.8,41.51,0.9091
"Mondelez International, Inc,",1637012,US6092071058,47.14,42.5,33.58,37.34,0.9167
MONSTER BEVERAGE CORPORATION,1385758,US61174X1090,30.76,19.5,9.45,6,1
MOODY'S CORPORATION,1707586,US6153691059,57.91,46.02,46.92,62.76,0.8889
MORGAN STANLEY,1539753,US6174464486,55.26,55.33,45.36,52.22,0.7895
"MOTOROLA SOLUTIONS, INC,",594312,US6200763075,36.53,16.91,15.71,23.82,1
"MSCI Inc,",378292,US55354G1004,38.18,42.07,26.69,33.09,0.8571
"NASDAQ, INC,",1316605,US6311031081,54.86,40.74,54.96,46,0.8
"NETAPP, INC,",1336922,US64110D1046,47.81,42.5,34.27,32.4,0.7778
"NETFLIX, INC,",657641,US64110L1061,51.87,40.25,55.56,61.8,0.8421
"NEWELL BRANDS INC,",643184,US6512291062,44.1,34.2,37.5,29.5,1
NEWMONT CORPORATION,680278,US6516391066,48,50.62,36,41.74,0.9667
"NEXTERA ENERGY CAPITAL HOLDINGS, INC,",1355613,US65339F1012,48.13,38.56,30.1,37.47,1
"NIKE, INC,",1082369,US6541061031,54.8,48.06,44.03,48.8,0.8235
"NISOURCE INC,",1412032,US65473P1057,33.93,45.18,33.28,33.28,1
Norfolk Southern Corporation,1516954,US6558441084,45,29.66,39.45,36.19,1
NORTHROP GRUMMAN CORPORATION,1355610,US6668071029,54.94,46.94,54.91,57.88,0.9444
"NORTONLIFELOCK INC,",1097833,US6687711084,58.01,58.82,69.76,60.27,0.75
"NRG ENERGY, INC,",321637,US6293775085,45.51,50.09,45.38,41.75,1
NUCOR CORPORATION,1695949,US6703461052,45.09,50.74,18.45,29.5,1
NVIDIA CORPORATION,659716,US67066G1040,39.97,30.94,39.88,40.33,0.8333
"NVR Inc,",1397008,US62944T1051,23.17,31.95,9.45,15,1
"NXP Semiconductors N,V,",242959,NL0009538784,43.88,55.05,38.86,32.98,1
OCCIDENTAL PETROLEUM CORPORATION,1537313,US6745991058,46.33,25.81,31.95,28.41,0.875
"Old Dominion Freight Line, Inc,",124488,US6795801009,29.01,27.45,18.45,19,1
"OMNICOM GROUP INC,",1540102,US6819191064,43.34,51,39.38,43.43,0.8889
"ONEOK, INC,",1556578,US6826801036,40.16,34.4,20.55,15.28,1
ORACLE CORPORATION,871790,US68389X1054,51.67,45.36,60.1,63.87,1
"O'Reilly Automotive, Inc,",832663,US67103H1077,32.85,33.26,0,18,1
OTIS WORLDWIDE CORPORATION,1425658,US68902V1070,46.68,52.5,42.97,48.25,0.5
PACCAR INC,1103803,US6937181088,38.92,26.86,22.77,20.45,0.9091
Packaging Corporation of America,1171384,US6951561090,37.24,34.65,21.37,20.42,1
Parker-Hannifin Corporation,1011805,US7010941042,40.73,25.5,19.07,16.67,0.9048
"Paychex, Inc,",733388,US7043261079,42.74,37.88,32.68,34.45,1
"Paycom Software, Inc,",993151,US70432V1026,44.22,31.57,35.35,39.9,1
"PAYPAL HOLDINGS, INC,",644676,US70450Y1038,59.22,50.69,50.49,61.89,0.8
Pentair Public Limited Company,1162464,IE00BLS09M33,45.37,46.77,29.35,40.48,0.875
"PepsiCo, Inc,",1546390,US7134481081,56.56,47.77,43.53,59.67,0.84
"PerkinElmer, Inc,",855972,US7140461093,34.23,31.43,22.78,36.59,0.7143
"PFIZER INC,",1071096,US7170811035,58.11,48.35,50.9,57.46,0.6923
"PHILIP MORRIS INTERNATIONAL INC,",1538551,US7181721090,50.6,51.78,32.56,46.21,0.9231
PHILLIPS 66,861905,US7185461040,48.32,49.86,37.92,58.48,1
PIONEER NATURAL RESOURCES COMPANY,1548342,US7237871071,41.15,37.81,39.96,43.47,1
"PPG INDUSTRIES, INC,",638607,US6935061076,41.55,25.38,28.86,35.84,0.8261
"PRINCIPAL FINANCIAL GROUP, INC,",1333279,US74251V1026,56.01,52.9,47.18,64.05,0.8696
"ProLogis Inc,",1372346,US74340W1036,47.96,38.92,30.78,44.74,1
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,1328106,US7445731067,53.59,51.73,46.74,45.31,0.7692
PUBLIC STORAGE,656481,US74460D1090,47.35,48.27,36.7,47.48,1
"PulteGroup Inc,",1742274,US7458671010,37.67,29.32,27.11,20.91,1
"Qorvo, Inc,",1662873,US74736K1016,37.11,20.5,29.45,22.22,1
QUALCOMM INCORPORATED,1550359,US7475251036,45.14,45.84,20.97,28.87,0.8571
QUEST DIAGNOSTICS INCORPORATED,131049,US74834L1008,56.94,63.74,46.02,64.71,1
"RAYMOND JAMES FINANCIAL, INC,",1353053,US7547301090,45.29,46.01,37.75,45.14,0.9688
